cn,sv,entity_position,entities,entity_type
迎春正啟俄山席,Nghinh xuân chính khởi Nga Sơn tịch,(4: 6),Nga Sơn,
愛客偏浮鉢場杯,Ái khách thiên phù Bát Tràng bôi,(4: 6),Bát Tràng,
黍離花枯傳密法,Thủ Linh hoa khô truyền mật pháp,(0: 2),Thủ Linh,
亞雨歐風新柱杵,Á vũ Âu phong tân chỉ trụ,(2: 3),Âu,
雄岡峻嶺昔封尊,Hùng cương Tản lĩnh cựu phong cương,(2: 3),Tản,
劫領蘆江挑正氣,Kiếp lĩnh Lô giang tiêu chính khí,(2: 3),Lô,
天 應 地 靈 龍 棲 村,Thiên ứng địa linh Long Kiểu tự,(4: 6),Long Kiểu,
神 扶 佛 度 錦 降 村,Thần phù Phật độ Cẩm Đội thôn,"(2: 3), (4: 6)","Phật, Cẩm Đội",
近 悅 逺 来 皈 佛 化,Cận duyệt viễn lai quy Phật hoá,(5: 6),Phật,
法 雨 注 南 洲 竺 槾 茂 花 生 思 德,Pháp vũ chú Nam châu Thủy trúc hoàng hoa sinh từ sắc,"(3: 4), (5: 6)","Nam, Thủy",
慈 雲 布 東 土 長 松 細 草 沐 洪 恩,Từ vân bố Đông Thổ trưởng tùng tế thảo mộc hồng ân,(3: 5),Đông Thổ,
景佛前扶善恶惩,Cảnh Phật tiến phù thiện phạt ác,(0: 2),Cảnh Phật,
嘉名徵聖靈靈讚激水汗平街巷千期,Gia danh trưng thánh thụy linh trừ Tô thủy thăng bình nhai hạng thiên kỳ,(7: 8),Tô,
登門眺望龍拏鈴靈特地樓臺近提西湖月,Đăng môn điếu vọng Long Đỗ chung linh đặc địa lâu đài cận áp Tây Hồ nguyệt,"(4: 6), (14: 16)","Long Đỗ, Tây Hồ",
歷大稽傳帝都四緯敕天華表達對武當山,Lịch đại xưng truyền đế đô tứ trấn kinh thiên hoa biểu giao đối Vu Đường sơn,(14: 16),Vu Đường,
