cn,sv,vi
俄山,Nga Sơn,Nga Sơn
鉢場,Bát Tràng,Bát Tràng
黍離,Thủ Linh,Thủ Linh
歐,Âu,Âu
峻,Tản,Tản
蘆,Lô,Lô
龍棲,Long Kiểu,Long Kiểu
佛,Phật,Phật
錦降,Cẩm Đội,Cẩm Đội
南,Nam,Nam
竺,Thủy,Thủy
東土,Đông Thổ,Đông Thổ
景佛,Cảnh Phật,Cảnh Phật
激,Tô,Tô
龍拏,Long Đỗ,Long Đỗ
西湖,Tây Hồ,Tây Hồ
武當,Vu Đường,Vu Đường
廣寒,Quảng Hàn,Quảng Hàn
我南,Ngã Nam,Ngã Nam
長安,Trường An,Trường An
宋,Tống,Tống
占,Chiêm,Chiêm
世宗,Thế Tông,Thế Tông
福泰,Phúc Thái,Phúc Thái
皇黎,Hoàng Lê,Hoàng Lê
雲堂,Vân Cát,Vân Cát
范,Phạm,Phạm
天葢,Thiên Khải,Thiên Khải
黎,Lê,Lê
萬春,Vạn Xuân,Vạn Xuân
龍編,Long Biên,Long Biên
東阿,Đông A,Đông A
無,Yên,Yên
華,Triệu,Triệu
西蜀,Tây Thục,Tây Thục
西,Tây,Tây
莫,Mạc,Mạc
濁,Nhu,Nhu
武,Vũ,Vũ
雅,Nhã,Nhã
國,Quốc,Quốc
周南,Chu Nam,Chu Nam
淳聖,Thủ Tứ,Thủ Tứ
春秋,Xuân Thu,Xuân Thu
積善,Kê Thánh,Kê Thánh
華,Hoa,Hoa
東,Bố,Bố
蜀,Thục,Thục
義,Nghĩa,Nghĩa
象,Tượng,Tượng
龍,Long,Long
對佛,Đối Phật,Đối Phật
貉,Lạc,Lạc
文,Văn,Văn
戚,Thích,Thích
南海,Nam Hải,Nam Hải
入般,Nhập Bát,Nhập Bát
洪順,Hồng Thuận,Hồng Thuận
進,Tiến,Tiến
光昭,Quang Thiệu,Quang Thiệu
狀,Trạng,Trạng
越,Việt,Việt
使,Sử,Sử
吳,Ngô,Ngô
莊王,Trang Vương,Trang Vương
陳,Trần,Trần
事,Lý,Lý
李,Lý,Lý
北,Bắc,Bắc
封公,Phong Công,Phong Công
进,Tiến,Tiến
築,Khê,Khê
易,Dịch,Dịch
銀,Ngân,Ngân
霓,Nghê,Nghê
玉,Ngọc,Ngọc
九,Cửu,Cửu
螺城,Loa Thành,Loa Thành
滿格,Hồng Lạc,Hồng Lạc
龍仙,Long Tiên,Long Tiên
太水,Thái Thuỷ,Thái Thuỷ
普靈,Phổ Linh,Phổ Linh
禪滿,Thiền Phật,Thiền Phật
輝,Huy,Huy
禪,Thiền,Thiền
西北,Tây Bắc,Tây Bắc
東南,Đông Nam,Đông Nam
鯉,Lý,Lý
陳名,Trần Danh,Trần Danh
安所,Yên Sở,Yên Sở
鴻絡,Hồng Lạc,Hồng Lạc
帝王,Đế Vương,Đế Vương
鴻雒,Hồng Lạc,Hồng Lạc
仙龍,Tiên Long,Tiên Long
祖,Tổ,Tổ
雄,Hùng,Hùng
隨祖,Duy Tổ,Duy Tổ
考古,Khảo Cổ,Khảo Cổ
安養,An Dưỡng,An Dưỡng
慈孝,Từ Hiếu,Từ Hiếu
亞,Á,Á
香江,Hương Giang,Hương Giang
香國,Hương Quốc,Hương Quốc
震旦,Chấn Đán,Chấn Đán
景興,Cảnh Hưng,Cảnh Hưng
天台,Thiên Đài,Thiên Đài
祇,Kỳ,Kỳ
御,Ngự,Ngự
永盛,Vĩnh Thịnh,Vĩnh Thịnh
中,Trung,Trung
佛佛佛,Phật Phật Phật,Phật Phật Phật
妙営,Diệu Đế,Diệu Đế
浄光,Tịnh Quang,Tịnh Quang
安子,Yên Tử,Yên Tử
竹林,Trúc Lâm,Trúc Lâm
百粤,Bách Việt,Bách Việt
曹南鬥北,Tào Nam Đẩu Bắc,Tào Nam Đẩu Bắc
德,Đức,Đức
雲菁,Văn Cát,Văn Cát
堯舜,Nghiêu Thuấn,Nghiêu Thuấn
翼振,Dực Chẩn,Dực Chẩn
樂鴻,Lạc Hồng,Lạc Hồng
貉越,Lạc Việt,Lạc Việt
紫,Sài,Sài
蘇,Tô,Tô
祡,Sài,Sài
濃,Nùng,Nùng
帝,Phật,Phật
蘭,Lan,Lan
畵,Tấn,Tấn
陶,Đào,Đào
登黃鶴,Đăng Hoàng Hạc,Đăng Hoàng Hạc
赤壁,Xích Bích,Xích Bích
白雲,Bạch Vân,Bạch Vân
曾,Tăng,Tăng
子,Nhan,Nhan
萬,Vũ,Vũ
茶,Trà,Trà
扼,Ấn,Ấn
菩,Bồ,Bồ
報,Bát,Bát
寶,Bảo,Bảo
慈,Từ,Từ
稱,Thứu,Thứu
神,Thần,Thần
興道,Hưng Đạo,Hưng Đạo
元,Nguyên,Nguyên
金本,Kim Bản,Kim Bản
貴鄉,Quý Hương,Quý Hương
靈湖浩,Linh Hồ Nhược,Linh Hồ Nhược
長山,Trường Sơn,Trường Sơn
鹅山,Nga Sơn,Nga Sơn
缽場,Bát Tràng,Bát Tràng
陸羽,Lục Vũ,Lục Vũ
魯彭,Kiều Bành,Kiều Bành
鎭北,Trấn Bắc,Trấn Bắc
學南,Việt Nam,Việt Nam
鷲嶺,Thứu Lĩnh,Thứu Lĩnh
天本,Thiên Bản,Thiên Bản
地仙,Địa Tiên,Địa Tiên
聖,Thánh,Thánh
西嶽,Tây Nhạc,Tây Nhạc
鴻貉,Hồng Lạc,Hồng Lạc
顯丁西土傘瀘,Hiển Đinh Tây Thổ Tản Lô,Hiển Đinh Tây Thổ Tản Lô
應蜀,Ứng Thục,Ứng Thục
抗趙,Kháng Triệu,Kháng Triệu
趙,Triệu,Triệu
傘珥,Tản Nhĩ,Tản Nhĩ
孫吳,Tôn Ngô,Tôn Ngô
傘,Tản,Tản
瀘,Lô,Lô
北宋,Bắc Tống,Bắc Tống
慕珠,Mộ Châu,Mộ Châu
喝,Hát,Hát
徽,Trưng,Trưng
浪,Lãng,Lãng
漢,Hán,Hán
龍橋,Long Kiều,Long Kiều
錦隊,Cẩm Đội,Cẩm Đội
徳佛,Đức Phật,Đức Phật
菩提,Bồ Đề,Bồ Đề
般若,Bát Nhã,Bát Nhã
眾聖,Chúng Thánh,Chúng Thánh
極樂,Cực Lạc,Cực Lạc
諸佛,Chư Phật,Chư Phật
蓮花,Liên Hoa,Liên Hoa
西竺,Tây Trúc,Tây Trúc
與和,Dữ Hòà,Dữ Hòà
彌佗佛,Di Đà Phật,Di Đà Phật
瓢,Biều,Biều
翠,Thúy,Thúy
茶嶺,Trà Lĩnh,Trà Lĩnh
龍文,Lot Văn,Lot Văn
塗山,Đồ Sơn,Đồ Sơn
瓢水,Biều Thủy,Biều Thủy
朔,Sóc,Sóc
香,Hương,Hương
靈山,Linh Sơn,Linh Sơn
果土,Đông Thổ,Đông Thổ
西方,Tây Phương,Tây Phương
真佛,Chân Phật,Chân Phật
謝,Tạ,Tạ
釋伽中國周孔西,Thích Ca Trung Quốc Chu Khổng Tây,Thích Ca Trung Quốc Chu Khổng Tây
雲葛,Vân Cát,Vân Cát
毛,Vương,Vương
崇葛,Sùng Cát,Sùng Cát
趙徵,Triệu Trưng,Triệu Trưng
靈,Linh,Linh
穌,Tô,Tô
其,Nhị,Nhị
接貉,Tiếp Lạc,Tiếp Lạc
丁,Đinh,Đinh
馬,Mã,Mã
珥濃,Nhị Nùng,Nhị Nùng
北南,Bắc Nam,Bắc Nam
南同,Nam Đồng,Nam Đồng
宋土務花,Dông Tho Lạc Long,Dông Tho Lạc Long
在陳,Tại Trần,Tại Trần
入黎,Nhập Lê,Nhập Lê
黃梅,Hoàng Mai,Hoàng Mai
龍過,Long Biên,Long Biên
龍肚,Long Đỗ,Long Đỗ
武當,Vũ Đương,Vũ Đương
南山,Nam Sơn,Nam Sơn
百,Bách,Bách
仙容,Tiên Dung,Tiên Dung
月娥,Nguyệt Nga,Nguyệt Nga
周召,Chu Triệu,Chu Triệu
謝王,Tạ Vương,Tạ Vương
瑤池,Dao Trì,Dao Trì
伯牙,Bá Nha,Bá Nha
堂粲,Đường Sán,Đường Sán
徵,Trưng,Trưng
梅,Mai,Mai
鸚鵡,Anh Vũ,Anh Vũ
鳳,Phượng,Phượng
牛女,Ngưu Nữ,Ngưu Nữ
鳳凰,Phượng Hoàng,Phượng Hoàng
凰,Hoàng,Hoàng
銀漢,Ngân Hán,Ngân Hán
巫山,Vu Sơn,Vu Sơn
母歸,Vương Mẫu,Vương Mẫu
秦,Tần,Tần
慷,Khảng,Khảng
悽,Thê,Thê
昇龍,Thăng Long,Thăng Long
竹堂范,Trúc Đường Phạm,Trúc Đường Phạm
癸酉,Quí Dậu,Quí Dậu
刺,Thích,Thích
俠,Hiệp,Hiệp
鴻,Hồng,Hồng
魚,Ngư,Ngư
盤,Bàn,Bàn
島,Đảo,Đảo
英,Anh,Anh
清,Thanh,Thanh
誰,Đông,Đông
崑崙,Côn Lôn,Côn Lôn
大越,Đại Việt,Đại Việt
徵王,Trưng Vương,Trưng Vương
趙嫗,Triệu Ẩu,Triệu Ẩu
沱,Đà,Đà
屏山,Bình Sơn,Bình Sơn
芹徐,Cần Giờ,Cần Giờ
東,Đông,Đông
美,Mỹ,Mỹ
王,Vương,Vương
萊,Lai,Lai
于山,Vu Sơn,Vu Sơn
素娥,Tố Nga,Tố Nga
西域,Tây Vực,Tây Vực
南天,Nam Thiên,Nam Thiên
南國,Nam Quốc,Nam Quốc
膠,Giao,Giao
嘉林,Gia Lâm,Gia Lâm
重嚴,Trùng Nghiêm,Trùng Nghiêm
報恩,Báo Ân,Báo Ân
膠漆,Giao Tất,Giao Tất
金山,Kim Sơn,Kim Sơn
鴻嶺,Hồng Lĩnh,Hồng Lĩnh
藍江,Lam Giang,Lam Giang
愚,Ngu,Ngu
黨,Đảng,Đảng
湧,Trọc,Trọc
香山,Hương Sơn,Hương Sơn
紅杏,Hồng Hạnh,Hồng Hạnh
紫山,Mông Sơn,Mông Sơn
杜孟,Đỗ Mạnh,Đỗ Mạnh
歐陽,Âu Dương,Âu Dương
高,Cao,Cao
文林,Văn Lâm,Văn Lâm
太圓,Thái Vi,Thái Vi
檜,Cối,Cối
梧,Ngô,Ngô
泰,Thái,Thái
斗北,Đẩu Bắc,Đẩu Bắc
交南,Giao Nam,Giao Nam
！,Hiển,Hiển
鎮北,Trấn Bắc,Trấn Bắc
漾西,Tây Hồ,Tây Hồ
粵南,Việt Nam,Việt Nam
從東,Đông Thổ,Đông Thổ
，,Nhị,Nhị
月,Nùng,Nùng
煙花,Yên Hoa,Yên Hoa
，,Âu,Âu
風,Á,Á
仙香,Tiên Hương,Tiên Hương
菩薩,Bổ Tát,Bổ Tát
南北,Nam Bắc,Nam Bắc
陳黎,Trần Lê,Trần Lê
萬劒,Vạn Kiếp,Vạn Kiếp
六頭,Lục Đầu,Lục Đầu
安南,An Nam,An Nam
平北,Bình Bắc,Bình Bắc
陳皇,Trần Hoàng,Trần Hoàng
佛聖,Phật Thánh,Phật Thánh
自西,Tự Tây,Tự Tây
東南北,Đông Nam Bắc,Đông Nam Bắc
從漢,Tòng Hán,Tòng Hán
宋齊梁,Tống Tề Lương,Tống Tề Lương
絡,Lạc,Lạc
洊,Thao,Thao
珥,Nhị,Nhị
渤,Thao,Thao
上,Thượng,Thượng
洲,Châu,Châu
翼靜,Đức Chân,Đức Chân
保越,Bảo Việt,Bảo Việt
扶陳,Phù Trần,Phù Trần
扶捧,Phù Ứng,Phù Ứng
雄虎,Hùng Lô,Hùng Lô
西天,Tây Thiên,Tây Thiên
彌陀佛,Di Đà Phật,Di Đà Phật
觀世音,Quán Thế Âm,Quán Thế Âm
釋迦,Thích Ca,Thích Ca
三世佛,Tam Thế Phật,Tam Thế Phật
九重仙,Cửu Trùng Tiên,Cửu Trùng Tiên
阿彌陀佛,A Di Đà Phật,A Di Đà Phật
如來,Như Lai,Như Lai
調佛,Tụng Phật,Tụng Phật
壯嚴,Trang Nghiêm,Trang Nghiêm
三江,Tam Giang,Tam Giang
慶元,Khánh Nguyên,Khánh Nguyên
中南北,Trung Nam Bắc,Trung Nam Bắc
苦蓮,Bố Tát,Bố Tát
臨,Lâm,Lâm
癸酉,Quý Dậu,Quý Dậu
壬申,Nhâm Thân,Nhâm Thân
浄,Tịnh,Tịnh
祈,Kỳ,Kỳ
苦,Bồ,Bồ
寳,Bảo,Bảo
普照,Phổ Chiếu,Phổ Chiếu
文和,Văn Hoá,Văn Hoá
臨濟,Lâm Tế,Lâm Tế
東溪,Đông Khê,Đông Khê
揚州,Dương Châu,Dương Châu
兄東,Đoài Đông,Đoài Đông
阿彌,A Di,A Di
陀佛,Đà Phật,Đà Phật
鐘山,Chung Sơn,Chung Sơn
入禪,Nhập Thiền,Nhập Thiền
西東,Tây Đông,Tây Đông
東西南北中,Đông Tây Nam Bắc Trung,Đông Tây Nam Bắc Trung
唐韓愈,Đường Hàn Dũ,Đường Hàn Dũ
佛丁先皇,Phật Đinh Tiên Hoàng,Phật Đinh Tiên Hoàng
西母,Tây Mẫu,Tây Mẫu
光順洪德,Quang Thuận Hồng Đức,Quang Thuận Hồng Đức
東西南北,Đông Tây Nam Bắc,Đông Tây Nam Bắc
人睦,Nhân Mục,Nhân Mục
官人,Quan Nhân,Quan Nhân
金藍,Kim Cổ,Kim Cổ
同官,Đồng Quan,Đồng Quan
崇山,Sùng Sơn,Sùng Sơn
濃嶺,Nùng Lĩnh,Nùng Lĩnh
傘員,Tản Viên,Tản Viên
中寺,Trung Tự,Trung Tự
吉黎,Cổ Lê,Cổ Lê
光順,Quang Thuận,Quang Thuận
今保大乙,Kim Bảo Đại Ất,Kim Bảo Đại Ất
彌陀,Di Đà,Di Đà
淨,Tịnh,Tịnh
報若,Bát Nhã,Bát Nhã
雲蓋,Vân Cát,Vân Cát
南越,Nam Việt,Nam Việt
古深,Cổ Lương,Cổ Lương
開鼓,Đông Cổ,Đông Cổ
戒盤,Châu Bản,Châu Bản
三,Tam,Tam
琴,Cầm,Cầm
大越史記外紀全書卷之一,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhất,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhất
國子監司,Quốc Tử Giám Tư,Quốc Tử Giám Tư
史,Sử,Sử
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
按黄,Án Hoàng,Án Hoàng
交趾,Giao Chỉ,Giao Chỉ
西南,Tây Nam,Tây Nam
𦏁,Hi,Hi
南交,Nam Giao,Nam Giao
楊,Dương,Dương
成周,Thành Chu,Thành Chu
越裳,Việt Thường,Việt Thường
鴻龐,Hồng Bàng,Hồng Bàng
紀,KỶ,KỶ
涇陽王,Kinh Dương Vương,Kinh Dương Vương
壬戌,Nhâm Tuất,Nhâm Tuất
初炎帝神農,Sơ Viêm Đế Thần Nông,Sơ Viêm Đế Thần Nông
帝明,Đế Minh,Đế Minh
帝宜,Đế Nghi,Đế Nghi
五嶺,Ngũ Lĩnh,Ngũ Lĩnh
鶩僊,Vụ Tiên,Vụ Tiên
赤鬼,Xích Quỷ,Xích Quỷ
洞庭,Động Đình,Động Đình
神龍,Thần Long,Thần Long
貉龍君,Lạc Long Quân,Lạc Long Quân
唐,Đường,Đường
涇陽,Kinh Dương,Kinh Dương
涇川,Kinh Xuyên,Kinh Xuyên
柳毅,Liễu Nghị,Liễu Nghị
則涇川洞庭,Tắc Kinh Xuyên Động Đình,Tắc Kinh Xuyên Động Đình
帝來,Đế Lai,Đế Lai
嫗姬,Âu Cơ,Âu Cơ
姬,Cơ,Cơ
我,Ngã,Ngã
䧺王,Hùng Vương,Hùng Vương
吴士連,Ngô Sĩ Liên,Ngô Sĩ Liên
天,Thiên,Thiên
盤古,Bàn Cổ,Bàn Cổ
商,Thương,Thương
周,Chu,Chu
神農,Thần Nông,Thần Nông
貉龍君君,Lạc Long Quân Quân,Lạc Long Quân Quân
考,Khảo,Khảo
通鑑外紀帝來帝宜,Thông Giám Ngoại Kỉ Đế Lai Đế Nghi,Thông Giám Ngoại Kỉ Đế Lai Đế Nghi
涇陽王帝宜,Kinh Dương Vương Đế Nghi,Kinh Dương Vương Đế Nghi
峯州今白鶴,Phong Châu Kim Bạch Hạc,Phong Châu Kim Bạch Hạc
雄王,Hùng Vương,Hùng Vương
文郎,Văn Lang,Văn Lang
巴蜀,Ba Thục,Ba Thục
胡孫,Hồ Tôn,Hồ Tôn
占城,Chiêm Thành,Chiêm Thành
廣南,Quảng Nam,Quảng Nam
朱鳶,Chu Diên,Chu Diên
武寧,Vũ Ninh,Vũ Ninh
福祿,Phúc Lộc,Phúc Lộc
寧海,Ninh Hải,Ninh Hải
陽泉,Dương Tuyền,Dương Tuyền
陸海,Lục Hải,Lục Hải
武定,Vũ Định,Vũ Định
懷驩,Hoài Hoan,Hoài Hoan
九真,Cửu Chân,Cửu Chân
平文,Bình Văn,Bình Văn
新興,Tân Hưng,Tân Hưng
九德,Cửu Đức,Cửu Đức
貉候,Lạc Hầu,Lạc Hầu
貉將貉,Lạc Tướng Lạc,Lạc Tướng Lạc
雄將王,Hùng Tướng Vương,Hùng Tướng Vương
官郎,Quan Lang,Quan Lang
媚娘,Mị Nương,Mị Nương
蒲政,Bồ Chính,Bồ Chính
山,Sơn,Sơn
扶董,Phù Đổng,Phù Đổng
願,Nguyện,Nguyện
後李太祖,Hậu Lí Thái Tổ,Hậu Lí Thái Tổ
冲天神王其,Xung Thiên Thần Vương Kì,Xung Thiên Thần Vương Kì
建初,Kiến Sơ,Kiến Sơ
周成王,Chu Thành Vương,Chu Thành Vương
周未,Chu Vị,Chu Vị
周公,Chu Công,Chu Công
政,Chính,Chính
蜀王,Thục Vương,Thục Vương
彼,Bỉ,Bỉ
此,Thử,Thử
山精,Sơn Tinh,Sơn Tinh
水精,Thuỷ Tinh,Thuỷ Tinh
傘圓,Tản Viên,Tản Viên
慈廉,Từ Liêm,Từ Liêm
莅仁,Lị Nhân,Lị Nhân
廣威,Quảng Oai,Quảng Oai
陀,Đà,Đà
俗,Tục,Tục
山精水精,Sơn Tinh Thuỷ Tinh,Sơn Tinh Thuỷ Tinh
山精蜀,Sơn Tinh Thục,Sơn Tinh Thục
蜀泮,Thục Phán,Thục Phán
蓋,Cái,Cái
今,Kim,Kim
若山精水精,Nhược Sơn Tinh Thuỷ Tinh,Nhược Sơn Tinh Thuỷ Tinh
右鴻庞,Hữu Hồng Bàng,Hữu Hồng Bàng
涇陽王壬戌,Kinh Dương Vương Nhâm Tuất,Kinh Dương Vương Nhâm Tuất
宜,Nghi,Nghi
周赧王,Chu Noãn Vương,Chu Noãn Vương
季卯,Quý Mão,Quý Mão
蜀紀安陽王,Thục Kỷ An Dương Vương,Thục Kỷ An Dương Vương
姓蜀,Tính Thục,Tính Thục
泮巴蜀,Phán Ba Thục,Phán Ba Thục
封溪今古螺,Phong Khê Kim Cổ Loa,Phong Khê Kim Cổ Loa
甲辰,Giáp Thìn,Giáp Thìn
甌貉,Âu Lạc,Âu Lạc
雄王雄王,Hùng Vương Hùng Vương,Hùng Vương Hùng Vương
遂,Toại,Toại
思龍,Tư Long,Tư Long
丙午,Bính Ngọ,Bính Ngọ
東周,Đông Chu,Đông Chu
工,Công,Công
待,Đãi,Đãi
七耀,Thất Diệu,Thất Diệu
悟空,Ngộ Không,Ngộ Không
郎,Lang,Lang
死,Tử,Tử
至七耀,Chí Thất Diệu,Chí Thất Diệu
荷,Hà,Hà
臯魯或,Cao Lỗ Hoặc,Cao Lỗ Hoặc
皐通,Cao Thông,Cao Thông
靈光金爪神弩,Linh Quang Kim Trảo Thần Nỗ,Linh Quang Kim Trảo Thần Nỗ
唐高,Đường Cao,Đường Cao
南詔,Nam Chiếu,Nam Chiếu
高魯,Cao Lỗ,Cao Lỗ
昔,Tích,Tích
安陽王,An Dương Vương,An Dương Vương
明,Minh,Minh
高王,Cao Vương,Cao Vương
美,Mĩ,Mĩ
交州,Giao Châu,Giao Châu
東周君,Đông Chu Quân,Đông Chu Quân
