cn,sv,vi
俄山,Nga Sơn,Nga Sơn
鉢場,Bát Tràng,Bát Tràng
黍離,Thủ Linh,Thủ Linh
歐,Âu,Âu
峻,Tản,Tản
蘆,Lô,Lô
龍棲,Long Kiểu,Long Kiểu
佛,Phật,Phật
錦降,Cẩm Đội,Cẩm Đội
佛,Phật,Phật
南,Nam,Nam
竺,Thủy,Thủy
東土,Đông Thổ,Đông Thổ
景佛,Cảnh Phật,Cảnh Phật
激,Tô,Tô
龍拏,Long Đỗ,Long Đỗ
西湖,Tây Hồ,Tây Hồ
武當,Vu Đường,Vu Đường
廣寒,Quảng Hàn,Quảng Hàn
我南,Ngã Nam,Ngã Nam
長安,Trường An,Trường An
宋,Tống,Tống
占,Chiêm,Chiêm
世宗,Thế Tông,Thế Tông
福泰,Phúc Thái,Phúc Thái
皇黎,Hoàng Lê,Hoàng Lê
雲堂,Vân Cát,Vân Cát
范,Phạm,Phạm
天葢,Thiên Khải,Thiên Khải
黎,Lê,Lê
南,Nam,Nam
萬春,Vạn Xuân,Vạn Xuân
萬春,Vạn Xuân,Vạn Xuân
龍編,Long Biên,Long Biên
南,Nam,Nam
東阿,Đông A,Đông A
無,Yên,Yên
華,Triệu,Triệu
西蜀,Tây Thục,Tây Thục
西,Tây,Tây
莫,Mạc,Mạc
黎,Lê,Lê
莫,Mạc,Mạc
濁,Nhu,Nhu
黎,Lê,Lê
武,Vũ,Vũ
雅,Nhã,Nhã
國,Quốc,Quốc
周南,Chu Nam,Chu Nam
淳聖,Thủ Tứ,Thủ Tứ
春秋,Xuân Thu,Xuân Thu
佛,Phật,Phật
積善,Kê Thánh,Kê Thánh
華,Hoa,Hoa
東,Bố,Bố
東阿,Đông A,Đông A
蜀,Thục,Thục
義,Nghĩa,Nghĩa
象,Tượng,Tượng
龍,Long,Long
對佛,Đối Phật,Đối Phật
貉,Lạc,Lạc
文,Văn,Văn
戚,Thích,Thích
西湖,Tây Hồ,Tây Hồ
南海,Nam Hải,Nam Hải
入般,Nhập Bát,Nhập Bát
洪順,Hồng Thuận,Hồng Thuận
進,Tiến,Tiến
光昭,Quang Thiệu,Quang Thiệu
狀,Trạng,Trạng
越,Việt,Việt
使,Sử,Sử
吳,Ngô,Ngô
莊王,Trang Vương,Trang Vương
陳,Trần,Trần
事,Lý,Lý
李,Lý,Lý
龍,Long,Long
北,Bắc,Bắc
南,Nam,Nam
封公,Phong Công,Phong Công
进,Tiến,Tiến
黎,Lê,Lê
築,Khê,Khê
易,Dịch,Dịch
銀,Ngân,Ngân
銀,Ngân,Ngân
霓,Nghê,Nghê
玉,Ngọc,Ngọc
九,Cửu,Cửu
螺城,Loa Thành,Loa Thành
李,Lý,Lý
龍,Long,Long
武,Vũ,Vũ
滿格,Hồng Lạc,Hồng Lạc
龍仙,Long Tiên,Long Tiên
太水,Thái Thuỷ,Thái Thuỷ
佛,Phật,Phật
普靈,Phổ Linh,Phổ Linh
禪滿,Thiền Phật,Thiền Phật
輝,Huy,Huy
禪,Thiền,Thiền
西北,Tây Bắc,Tây Bắc
東南,Đông Nam,Đông Nam
鯉,Lý,Lý
陳名,Trần Danh,Trần Danh
安所,Yên Sở,Yên Sở
南,Nam,Nam
西,Tây,Tây
鴻絡,Hồng Lạc,Hồng Lạc
帝王,Đế Vương,Đế Vương
鴻雒,Hồng Lạc,Hồng Lạc
仙龍,Tiên Long,Tiên Long
祖,Tổ,Tổ
雄,Hùng,Hùng
隨祖,Duy Tổ,Duy Tổ
考古,Khảo Cổ,Khảo Cổ
安養,An Dưỡng,An Dưỡng
慈孝,Từ Hiếu,Từ Hiếu
佛,Phật,Phật
亞,Á,Á
歐,Âu,Âu
禪,Thiền,Thiền
香江,Hương Giang,Hương Giang
香國,Hương Quốc,Hương Quốc
震旦,Chấn Đán,Chấn Đán
佛,Phật,Phật
景興,Cảnh Hưng,Cảnh Hưng
天台,Thiên Đài,Thiên Đài
佛,Phật,Phật
祇,Kỳ,Kỳ
香江,Hương Giang,Hương Giang
御,Ngự,Ngự
景興,Cảnh Hưng,Cảnh Hưng
永盛,Vĩnh Thịnh,Vĩnh Thịnh
中,Trung,Trung
佛,Phật,Phật
佛佛佛,Phật Phật Phật,Phật Phật Phật
妙営,Diệu Đế,Diệu Đế
浄光,Tịnh Quang,Tịnh Quang
妙営,Diệu Đế,Diệu Đế
浄光,Tịnh Quang,Tịnh Quang
安子,Yên Tử,Yên Tử
竹林,Trúc Lâm,Trúc Lâm
百粤,Bách Việt,Bách Việt
曹南鬥北,Tào Nam Đẩu Bắc,Tào Nam Đẩu Bắc
德,Đức,Đức
雲菁,Văn Cát,Văn Cát
堯舜,Nghiêu Thuấn,Nghiêu Thuấn
北,Bắc,Bắc
南,Nam,Nam
西,Tây,Tây
翼振,Dực Chẩn,Dực Chẩn
樂鴻,Lạc Hồng,Lạc Hồng
佛,Phật,Phật
貉越,Lạc Việt,Lạc Việt
西,Tây,Tây
紫,Sài,Sài
南,Nam,Nam
李,Lý,Lý
佛,Phật,Phật
蘇,Tô,Tô
祡,Sài,Sài
濃,Nùng,Nùng
帝,Phật,Phật
佛,Phật,Phật
南,Nam,Nam
佛,Phật,Phật
佛,Phật,Phật
蘭,Lan,Lan
畵,Tấn,Tấn
陶,Đào,Đào
登黃鶴,Đăng Hoàng Hạc,Đăng Hoàng Hạc
赤壁,Xích Bích,Xích Bích
白雲,Bạch Vân,Bạch Vân
曾,Tăng,Tăng
子,Nhan,Nhan
萬,Vũ,Vũ
陶,Đào,Đào
越,Việt,Việt
茶,Trà,Trà
扼,Ấn,Ấn
北,Bắc,Bắc
越,Việt,Việt
南,Nam,Nam
菩,Bồ,Bồ
報,Bát,Bát
西,Tây,Tây
寶,Bảo,Bảo
慈,Từ,Từ
佛,Phật,Phật
祇,Kỳ,Kỳ
稱,Thứu,Thứu
神,Thần,Thần
佛,Phật,Phật
陳,Trần,Trần
興道,Hưng Đạo,Hưng Đạo
元,Nguyên,Nguyên
金本,Kim Bản,Kim Bản
貴鄉,Quý Hương,Quý Hương
靈湖浩,Linh Hồ Nhược,Linh Hồ Nhược
長山,Trường Sơn,Trường Sơn
鹅山,Nga Sơn,Nga Sơn
缽場,Bát Tràng,Bát Tràng
陸羽,Lục Vũ,Lục Vũ
魯彭,Kiều Bành,Kiều Bành
歐,Âu,Âu
佛,Phật,Phật
鎭北,Trấn Bắc,Trấn Bắc
西湖,Tây Hồ,Tây Hồ
學南,Việt Nam,Việt Nam
東土,Đông Thổ,Đông Thổ
鷲嶺,Thứu Lĩnh,Thứu Lĩnh
天本,Thiên Bản,Thiên Bản
地仙,Địa Tiên,Địa Tiên
聖,Thánh,Thánh
西嶽,Tây Nhạc,Tây Nhạc
神,Thần,Thần
百粤,Bách Việt,Bách Việt
南,Nam,Nam
鴻貉,Hồng Lạc,Hồng Lạc
顯丁西土傘瀘,Hiển Đinh Tây Thổ Tản Lô,Hiển Đinh Tây Thổ Tản Lô
雄,Hùng,Hùng
南,Nam,Nam
南,Nam,Nam
南,Nam,Nam
北,Bắc,Bắc
應蜀,Ứng Thục,Ứng Thục
蜀,Thục,Thục
抗趙,Kháng Triệu,Kháng Triệu
趙,Triệu,Triệu
傘珥,Tản Nhĩ,Tản Nhĩ
孫吳,Tôn Ngô,Tôn Ngô
歐,Âu,Âu
傘,Tản,Tản
瀘,Lô,Lô
北宋,Bắc Tống,Bắc Tống
南,Nam,Nam
北,Bắc,Bắc
慕珠,Mộ Châu,Mộ Châu
南,Nam,Nam
越,Việt,Việt
喝,Hát,Hát
徽,Trưng,Trưng
浪,Lãng,Lãng
漢,Hán,Hán
龍橋,Long Kiều,Long Kiều
錦隊,Cẩm Đội,Cẩm Đội
徳佛,Đức Phật,Đức Phật
菩提,Bồ Đề,Bồ Đề
般若,Bát Nhã,Bát Nhã
般若,Bát Nhã,Bát Nhã
菩提,Bồ Đề,Bồ Đề
漢,Hán,Hán
眾聖,Chúng Thánh,Chúng Thánh
極樂,Cực Lạc,Cực Lạc
諸佛,Chư Phật,Chư Phật
蓮花,Liên Hoa,Liên Hoa
菩,Bồ,Bồ
西竺,Tây Trúc,Tây Trúc
歐,Âu,Âu
越,Việt,Việt
與和,Dữ Hòà,Dữ Hòà
彌佗佛,Di Đà Phật,Di Đà Phật
瓢,Biều,Biều
象,Tượng,Tượng
佛,Phật,Phật
南,Nam,Nam
翠,Thúy,Thúy
東土,Đông Thổ,Đông Thổ
茶嶺,Trà Lĩnh,Trà Lĩnh
龍文,Lot Văn,Lot Văn
塗山,Đồ Sơn,Đồ Sơn
瓢水,Biều Thủy,Biều Thủy
朔,Sóc,Sóc
香,Hương,Hương
西竺,Tây Trúc,Tây Trúc
禪,Thiền,Thiền
景佛,Cảnh Phật,Cảnh Phật
靈山,Linh Sơn,Linh Sơn
西,Tây,Tây
果土,Đông Thổ,Đông Thổ
西方,Tây Phương,Tây Phương
真佛,Chân Phật,Chân Phật
陶,Đào,Đào
謝,Tạ,Tạ
釋伽中國周孔西,Thích Ca Trung Quốc Chu Khổng Tây,Thích Ca Trung Quốc Chu Khổng Tây
佛,Phật,Phật
雲葛,Vân Cát,Vân Cát
毛,Vương,Vương
宋,Tống,Tống
崇葛,Sùng Cát,Sùng Cát
趙徵,Triệu Trưng,Triệu Trưng
靈,Linh,Linh
穌,Tô,Tô
其,Nhị,Nhị
歐,Âu,Âu
接貉,Tiếp Lạc,Tiếp Lạc
丁,Đinh,Đinh
馬,Mã,Mã
南,Nam,Nam
北,Bắc,Bắc
南,Nam,Nam
珥濃,Nhị Nùng,Nhị Nùng
北,Bắc,Bắc
南,Nam,Nam
北南,Bắc Nam,Bắc Nam
南同,Nam Đồng,Nam Đồng
宋土務花,Dông Tho Lạc Long,Dông Tho Lạc Long
在陳,Tại Trần,Tại Trần
入黎,Nhập Lê,Nhập Lê
黃梅,Hoàng Mai,Hoàng Mai
龍過,Long Biên,Long Biên
龍肚,Long Đỗ,Long Đỗ
西湖,Tây Hồ,Tây Hồ
武當,Vũ Đương,Vũ Đương
北,Bắc,Bắc
南山,Nam Sơn,Nam Sơn
寶,Bảo,Bảo
佛,Phật,Phật
百,Bách,Bách
寶,Bảo,Bảo
寶,Bảo,Bảo
仙容,Tiên Dung,Tiên Dung
月娥,Nguyệt Nga,Nguyệt Nga
周召,Chu Triệu,Chu Triệu
謝王,Tạ Vương,Tạ Vương
北,Bắc,Bắc
喝,Hát,Hát
南,Nam,Nam
瑤池,Dao Trì,Dao Trì
伯牙,Bá Nha,Bá Nha
堂粲,Đường Sán,Đường Sán
徵,Trưng,Trưng
梅,Mai,Mai
鸚鵡,Anh Vũ,Anh Vũ
鳳,Phượng,Phượng
牛女,Ngưu Nữ,Ngưu Nữ
鳳凰,Phượng Hoàng,Phượng Hoàng
鳳,Phượng,Phượng
鳳凰,Phượng Hoàng,Phượng Hoàng
凰,Hoàng,Hoàng
鳳,Phượng,Phượng
銀漢,Ngân Hán,Ngân Hán
巫山,Vu Sơn,Vu Sơn
母歸,Vương Mẫu,Vương Mẫu
秦,Tần,Tần
慷,Khảng,Khảng
悽,Thê,Thê
昇龍,Thăng Long,Thăng Long
竹堂范,Trúc Đường Phạm,Trúc Đường Phạm
癸酉,Quí Dậu,Quí Dậu
祖,Tổ,Tổ
刺,Thích,Thích
俠,Hiệp,Hiệp
亞,Á,Á
漢,Hán,Hán
南,Nam,Nam
北,Bắc,Bắc
中,Trung,Trung
鴻,Hồng,Hồng
魚,Ngư,Ngư
盤,Bàn,Bàn
島,Đảo,Đảo
英,Anh,Anh
清,Thanh,Thanh
誰,Đông,Đông
崑崙,Côn Lôn,Côn Lôn
大越,Đại Việt,Đại Việt
徵王,Trưng Vương,Trưng Vương
趙嫗,Triệu Ẩu,Triệu Ẩu
沱,Đà,Đà
屏山,Bình Sơn,Bình Sơn
崑崙,Côn Lôn,Côn Lôn
芹徐,Cần Giờ,Cần Giờ
東,Đông,Đông
西,Tây,Tây
亞,Á,Á
歐,Âu,Âu
美,Mỹ,Mỹ
東,Đông,Đông
西,Tây,Tây
佛,Phật,Phật
歐,Âu,Âu
美,Mỹ,Mỹ
王,Vương,Vương
萊,Lai,Lai
西,Tây,Tây
南,Nam,Nam
南,Nam,Nam
于山,Vu Sơn,Vu Sơn
素娥,Tố Nga,Tố Nga
西域,Tây Vực,Tây Vực
南天,Nam Thiên,Nam Thiên
南國,Nam Quốc,Nam Quốc
西,Tây,Tây
佛,Phật,Phật
膠,Giao,Giao
嘉林,Gia Lâm,Gia Lâm
重嚴,Trùng Nghiêm,Trùng Nghiêm
報恩,Báo Ân,Báo Ân
膠漆,Giao Tất,Giao Tất
金山,Kim Sơn,Kim Sơn
鴻嶺,Hồng Lĩnh,Hồng Lĩnh
藍江,Lam Giang,Lam Giang
愚,Ngu,Ngu
黨,Đảng,Đảng
銀漢,Ngân Hán,Ngân Hán
牛女,Ngưu Nữ,Ngưu Nữ
湧,Trọc,Trọc
香山,Hương Sơn,Hương Sơn
紅杏,Hồng Hạnh,Hồng Hạnh
紫山,Mông Sơn,Mông Sơn
杜孟,Đỗ Mạnh,Đỗ Mạnh
歐陽,Âu Dương,Âu Dương
李,Lý,Lý
高,Cao,Cao
南海,Nam Hải,Nam Hải
西,Tây,Tây
佛,Phật,Phật
文林,Văn Lâm,Văn Lâm
太圓,Thái Vi,Thái Vi
黎,Lê,Lê
李,Lý,Lý
檜,Cối,Cối
梧,Ngô,Ngô
北,Bắc,Bắc
南,Nam,Nam
東,Đông,Đông
泰,Thái,Thái
西湖,Tây Hồ,Tây Hồ
北,Bắc,Bắc
東土,Đông Thổ,Đông Thổ
斗北,Đẩu Bắc,Đẩu Bắc
斗北,Đẩu Bắc,Đẩu Bắc
交南,Giao Nam,Giao Nam
！,Hiển,Hiển
鎮北,Trấn Bắc,Trấn Bắc
漾西,Tây Hồ,Tây Hồ
粵南,Việt Nam,Việt Nam
從東,Đông Thổ,Đông Thổ
，,Nhị,Nhị
月,Nùng,Nùng
煙花,Yên Hoa,Yên Hoa
，,Âu,Âu
風,Á,Á
天本,Thiên Bản,Thiên Bản
仙香,Tiên Hương,Tiên Hương
北南,Bắc Nam,Bắc Nam
菩薩,Bổ Tát,Bổ Tát
南北,Nam Bắc,Nam Bắc
陳黎,Trần Lê,Trần Lê
萬劒,Vạn Kiếp,Vạn Kiếp
六頭,Lục Đầu,Lục Đầu
安南,An Nam,An Nam
平北,Bình Bắc,Bình Bắc
陳皇,Trần Hoàng,Trần Hoàng
佛聖,Phật Thánh,Phật Thánh
自西,Tự Tây,Tự Tây
東南北,Đông Nam Bắc,Đông Nam Bắc
從漢,Tòng Hán,Tòng Hán
宋齊梁,Tống Tề Lương,Tống Tề Lương
絡,Lạc,Lạc
雄,Hùng,Hùng
陳,Trần,Trần
佛,Phật,Phật
神,Thần,Thần
洊,Thao,Thao
南,Nam,Nam
雄,Hùng,Hùng
珥,Nhị,Nhị
越,Việt,Việt
渤,Thao,Thao
南,Nam,Nam
雄,Hùng,Hùng
越,Việt,Việt
中,Trung,Trung
南,Nam,Nam
上,Thượng,Thượng
宋,Tống,Tống
南,Nam,Nam
南,Nam,Nam
北宋,Bắc Tống,Bắc Tống
漢,Hán,Hán
洲,Châu,Châu
翼靜,Đức Chân,Đức Chân
保越,Bảo Việt,Bảo Việt
北,Bắc,Bắc
扶陳,Phù Trần,Phù Trần
東,Đông,Đông
扶捧,Phù Ứng,Phù Ứng
雄,Hùng,Hùng
雄虎,Hùng Lô,Hùng Lô
東土,Đông Thổ,Đông Thổ
西天,Tây Thiên,Tây Thiên
彌陀佛,Di Đà Phật,Di Đà Phật
觀世音,Quán Thế Âm,Quán Thế Âm
佛,Phật,Phật
釋迦,Thích Ca,Thích Ca
三世佛,Tam Thế Phật,Tam Thế Phật
九重仙,Cửu Trùng Tiên,Cửu Trùng Tiên
佛,Phật,Phật
阿彌陀佛,A Di Đà Phật,A Di Đà Phật
如來,Như Lai,Như Lai
調佛,Tụng Phật,Tụng Phật
壯嚴,Trang Nghiêm,Trang Nghiêm
佛,Phật,Phật
三江,Tam Giang,Tam Giang
佛,Phật,Phật
西竺,Tây Trúc,Tây Trúc
佛,Phật,Phật
慶元,Khánh Nguyên,Khánh Nguyên
西,Tây,Tây
北,Bắc,Bắc
中南北,Trung Nam Bắc,Trung Nam Bắc
九,Cửu,Cửu
靈,Linh,Linh
苦蓮,Bố Tát,Bố Tát
佛,Phật,Phật
佛,Phật,Phật
高,Cao,Cao
臨,Lâm,Lâm
癸酉,Quý Dậu,Quý Dậu
壬申,Nhâm Thân,Nhâm Thân
浄,Tịnh,Tịnh
祈,Kỳ,Kỳ
苦,Bồ,Bồ
寳,Bảo,Bảo
普照,Phổ Chiếu,Phổ Chiếu
文和,Văn Hoá,Văn Hoá
臨濟,Lâm Tế,Lâm Tế
普照,Phổ Chiếu,Phổ Chiếu
東溪,Đông Khê,Đông Khê
文和,Văn Hoá,Văn Hoá
揚州,Dương Châu,Dương Châu
莫,Mạc,Mạc
兄東,Đoài Đông,Đoài Đông
東阿,Đông A,Đông A
東阿,Đông A,Đông A
阿彌,A Di,A Di
陀佛,Đà Phật,Đà Phật
佛,Phật,Phật
鐘山,Chung Sơn,Chung Sơn
王,Vương,Vương
入禪,Nhập Thiền,Nhập Thiền
西湖,Tây Hồ,Tây Hồ
北,Bắc,Bắc
佛,Phật,Phật
西東,Tây Đông,Tây Đông
東西南北中,Đông Tây Nam Bắc Trung,Đông Tây Nam Bắc Trung
北,Bắc,Bắc
南,Nam,Nam
唐韓愈,Đường Hàn Dũ,Đường Hàn Dũ
佛丁先皇,Phật Đinh Tiên Hoàng,Phật Đinh Tiên Hoàng
西母,Tây Mẫu,Tây Mẫu
南山,Nam Sơn,Nam Sơn
光順洪德,Quang Thuận Hồng Đức,Quang Thuận Hồng Đức
東西南北,Đông Tây Nam Bắc,Đông Tây Nam Bắc
人睦,Nhân Mục,Nhân Mục
官人,Quan Nhân,Quan Nhân
金藍,Kim Cổ,Kim Cổ
同官,Đồng Quan,Đồng Quan
崇山,Sùng Sơn,Sùng Sơn
濃嶺,Nùng Lĩnh,Nùng Lĩnh
北,Bắc,Bắc
南,Nam,Nam
傘員,Tản Viên,Tản Viên
中寺,Trung Tự,Trung Tự
吉黎,Cổ Lê,Cổ Lê
光順,Quang Thuận,Quang Thuận
今保大乙,Kim Bảo Đại Ất,Kim Bảo Đại Ất
北,Bắc,Bắc
南,Nam,Nam
佛,Phật,Phật
禪,Thiền,Thiền
彌陀,Di Đà,Di Đà
淨,Tịnh,Tịnh
報若,Bát Nhã,Bát Nhã
雲蓋,Vân Cát,Vân Cát
南越,Nam Việt,Nam Việt
古深,Cổ Lương,Cổ Lương
開鼓,Đông Cổ,Đông Cổ
戒盤,Châu Bản,Châu Bản
三,Tam,Tam
琴,Cầm,Cầm
大越史記外紀全書卷之一,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhất,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhất
國子監司,Quốc Tử Giám Tư,Quốc Tử Giám Tư
史,Sử,Sử
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
按黄,Án Hoàng,Án Hoàng
交趾,Giao Chỉ,Giao Chỉ
西南,Tây Nam,Tây Nam
百粤,Bách Việt,Bách Việt
𦏁,Hi,Hi
南交,Nam Giao,Nam Giao
南,Nam,Nam
交趾,Giao Chỉ,Giao Chỉ
百粤,Bách Việt,Bách Việt
楊,Dương,Dương
交趾,Giao Chỉ,Giao Chỉ
成周,Thành Chu,Thành Chu
越裳,Việt Thường,Việt Thường
越,Việt,Việt
鴻龐,Hồng Bàng,Hồng Bàng
紀,KỶ,KỶ
涇陽王,Kinh Dương Vương,Kinh Dương Vương
諱祿續神農,Huý Lộc Tục Thần Nông,Huý Lộc Tục Thần Nông
壬戌,Nhâm Tuất,Nhâm Tuất
初炎帝神農,Sơ Viêm Đế Thần Nông,Sơ Viêm Đế Thần Nông
帝明,Đế Minh,Đế Minh
