cn,vi
一家英雄横扫海北千秋庙的形状屹立在山东。,"Một nhà anh hùng ngang biển bắc,
Nghìn thu miếu mạo thẳng non đông"
庭前最喜欢风和习惯门内荣耀开盛气味兼备。,"Trước cửa mừng vui luồng gió ấm:
Trong nhà vinh hạnh nếp sống êm."
山川气象浑如画人物风光又更新。,"Núi sông cảnh tượng nom như vẽ;
Người vật phong quang chuyển sắc xuân."
千树梅花半轮月万家烟火一帆风。,"Hoa mai ngàn gốc, nửa vầng trăng
Khói lửa muôn nhà, một buồm gió"
千秋岁月千秋美万里江山万里春。,"Nghìn thu năm tháng nghìn thu đẹp;
Vạn dặm non sông vạn dặm xuân."
诗篇乐处风云动笔力停止时机造化开启。,"Vần thơ rơi xuống gió mây nổi;
Ngòi bút khi dừng tạo hoá nhàn."
破柱高标明日月金瓜永典山河。,"Trụ đã nêu cao sáng nhật nguyệt;
Âu vàng lập phép giữ sơn hà."
白日满怀心不夜春云凝聚万物雨含含情。,"Trăng sáng mơ màng đêm chẳng ngủ;
Mây xuân đẫm ấm mưa đượm tình."
无数云山供点笔且将墨竹换新诗。,"Mây núi có nhiều cho bút tả;
Trúc biếc dành riêng đổi mới thơ."
云飘一路留仙境水碧护池洗鹤华。,"Mây nổi một đường lưu tiên cảnh;
Nước biếc ao trong rửa hạc hoa."
一棵梅花一棵玉树半床明月半床经书。,"Một cây hoa mai là một cây ngọc;
Nửa giường trăng giọi, nửa giường sách kinh."
深院落藤花石不点头龙不说话残经零落贝叶香不飞篆和磬无声。,"Viện thẳm rụng hoa đằng, đá chẳng điểm, đầu rồng chẳng nói;
Kinh tàn xăm lá quí, hương không bay, triện khánh không thanh."
经常把国事当做家事一样总是俯视民心就像自己的心一样。,"Quốc sự thường lo như gia sự;
Lòng dân phải thấu tựa lòng ta."
华堂彩结观鸾舞绣阁丝连看凤飞。,"Nhà hoa lụa tết xem loan múa
Gác đẹp tơ sen ngắm phượng bay."
在上位在左右保护我的百姓保护我的子孙。,"Ở trên đầu, ở bên tả hữu;
Giúp dân ta, giúp con cháu ta."
春天来了鱼龙变化的时候就会到来了桃李花开了。,"Xuân về đấy, cá rồng biến hoá
Thời đến rồi, đào mận đơm hoa."
清泉为腹洁玉为怀遍体不沾尘腐臭之气海味可以贮藏山肴可以奉献金箱都是美味的珍宝。,"Bụng là suối trong, tâm là ngọc trắng, khắp người chẳng quyện chút bụi nhơ.
Giữ gìn hải vị, kính biếu sơn hào, hòm vàng đều là thức cao cấp."
前土宅后灵祠至今不改孝于家忠于国自古以来仍然流传。,"Trước chỗ ở, sau đền thiêng; đến nay chẳng đổi;
Hiếu trong nhà, trung với nước, từ còn truyền."
心宽忘却地窄野旷觉得天低。,"Lòng khoan quên hẹp đất;
Đất rộng biết thấp trời."
百世因和谐凤凰伴伴三春日永远赋鸡明。,"Trăm năm duyên hài hoà phượng hót.
Ba xuân ngày vẫn phú gà kêu."
