國 之 有 史 尙 矣	Nước có sử đã từ lâu	
我 越 歷 代 史 記 先 正 文 休 潘 孚 先 作 之 於 前 吳 士 連 武 瓊 述 之 於 後	Nước Việt ta sử ký các đời do các tiên hiền Lê Văn Hưu Phan Phu Tiên làm ra trước Ngô Sĩ Liên Vũ Quỳnh soạn tiếp sau	
其 間 事 蹟 之 詳 畧 政 治 之 得 失 莫 不 悉 備 於 記 载 之 中	Trong đó sự tích rõ hay lược chính trị hay hoặc dở không điều gì không ghi chép đủ	
但 未 行 鋟 梓 更 手 傳 筆 因 循 抄 錄 不 無 陶 陰 帝 之 疑	Nhưng vì chưa khắc in qua tay viết lại theo nhau biên chép không thể không có chỗ đáng ngờ đào-âm đế-hổ	
我 朝 玄 宗 穆 皇 帝 臨 御 之 頼 弘 祖 陽 王 興 建 治 平 造 就 問 命 宰 臣 范 公 著 等 參 考 史 有 如 史 記 外 紀 本 紀 全 書 本 紀 實 録 並 依 前 史 名 例 又 參 究 編 述 自 國 朝 荘 宗 裕 皇 帝 至	triều ta Huyền Tông Mục Hoàng Đế khi mới lên ngôi nhờ có Hoằng Tổ Dương Vương Trịnh Tạc dấy nghiệp trị bình tạo nền học vấn sai tể thần là bọn Phạm Công Trứ kham khảo sử cũ như Sử ký ngoại kỷ Bản kỷ toàn thư Bản kỷ thực lục đều y theo danh lệ của các sử trước lại tham sét biên soạn từ quốc triều Trang Tông Dụ Hoàng Đế đến	
神 宗 渊 皇 帝 增 入 國 史 命 曰 本 紀 續 編 付 諸 刊 刻 十 纔 五 六	Thần Tông Uyên Hoàng Đế để thêm vào quốc sử đặt tên là Bản kỷ tục biên giao cho khắc in mười phần mới được chừng năm sáu	
第 事 未 告 竣 猶 藏 於 秘 閣	Nhưng công việc chưa xong sách còn cất giữ ở Bí các	
求 繼 其 志 而 述 其 事 纂 其 要 而 集 其 成 盖 必 有 待 於 今 日 矣	Mong nối chí người xưa thuật lại việc trước tóm gọn điều cốt yếu tập hợp cho hoàn thành tất còn phải đợi đến ngày nay	
欽 帷 皇 上 陛 下 理 會 道 源 緝 熙 敬 學 寔 頼 大 元 帥 綂 國 政 上 聖 父 師 盛 功 仁 明	Kính nghĩ Hoàng thượng bệ hạ hiểu thấu nguồn đạo kính học nối sáng thực là nhờ Đại nguyên suý thống quốc chính thượng thánh phụ sư thịnh công nhân minh	
威 德 定 王 整 頓 乾 坤 綱 維 治 教 專 委 欽 差 節 制 各 處 水 歩 諸 營 兼 掌 政 權 太 尉 晉 國 公 鄭 柄 賛 治 化 振 作 文 風 深 帷 史 記 之 中 明 是 非 而 公 好 惡 森 乎 華 衮 斧 鉞 之 榮 嚴 寔 為 萬 世 衡 鑑	uy đức Định Vương Trịnh Căn chỉnh đốn càn khôn xếp đặt trị giáo riêng uỷ thác cho Khâm sai tiết chế các xứ thuỷ bộ chư doanh kiêm Chưởng chính quyền thái uý Tấn quốc công Trịnh Bính giúp đỡ chính trị giáo hoá chấn hưng phong tục văn minh nghĩ sâu sắc rằng những điều ghi chép trong sử tỏ rõ phải trái công bằng yêu ghét vinh hơn hoa cổn nghiêm hơn búa rìu thực là cái cân cái gương của muôn đời	
乃 於 事 幾 之 暇 特 命 臣 等 訂 考 史 訛 者 正 之 純 者 錄 之	Bèn nhân lúc công việc nhàn rỗi sai bọn thần khảo đính sử cũ chỗ nào sai thì sửa lại chỗ nào đúng thì chép lấy	
其 世 次 凣 例 年 表 一 如 前 所 著 述	Về thế thứ phàm lệ niên biểu hết thảy đều theo như thời trước đã trước thuật	
又 蓃 獵 跡 參 諸 野 史 類 編 自 玄 宗 穆 皇 帝 景 治 之 年 至 嘉 宗 羙 皇 帝 德 元 之 二 年 凣 十 有 三 載 事 實 亦 命 曰 本 紀 續 編	Lại sưu tầm sự tích cũ tham khảo các dã sử loại biên từ Huyền Tông Mục Hoàng Đế niên hiệu Cảnh Trị năm đầu đến Gia Tông Mỹ Hoàng Đế năm Đức Nguyên thứ hai tất cả sự thực trong mười ba năm cũng gọi là bản kỷ tục biên	
書 成 上 進 御 覽 遂 命 工 刊 刻 頒 布 天 下 使 徔 前	Sách làm xong dâng lên ngự lãm bèn sai thợ khắc in ban bố trong thiên hạ khiến cho những sự tích trước đây	
天 百 年 未 集 之 事 績 遹 底 于 成	Trăm ngàn năm chưa tập hợp lại nay được hoàn thành	
天 下 之 人 目 是 編 者 豁 然 如 覩 青 天 坦 然 如 循 大 路	Người trong thiên hạ ai trông thấy sách này đều được tỏ rạng như thấy trời xanh yên tâm như đi đường cái	
善 者 知 所 激 昂 惡 者 知 所 懲	Người thiện biết là được khuyến khích kẻ ác cũng biết là bị răn ngừa	
推 而 為 脩 齊 治 平 之 極 功 綏 来 動 和 之 大 效 端 在 是 矣	Suy ra mà làm thì công dụng rất mực đối với tu bề trị bình hiệu quả to lớn trong việc vỗ yên kẻ xa hành động dàn hoà đều khởi mối ở đấy cả	
謹 序	Kính cẩn viết tựa	
奉 㫖 考 編 特 進 金 紫 榮 禄 大 夫 參 從 刑 部 尙 書 知 中 書 監 萊 山 子 臣 黎 僖	Chỉ khảo biên Đặc tiến kim tử Vinh lộc đại phu Tham tụng Hình bộ thượng thư tri Trung thư giám Lai Sơn tử thần Lê Hy	
光 進 慎 禄 大 夫 陪 從 户 部 右 侍 郎 廉 堂 男 臣 阮 貴 德	Quang tiến Thuận lộc đại phu Bồi tụng Hộ bộ hữu thị lang Liêm Đường nam thần Nguyễn Quý Đức	
弘 信 大 夫 陪 從 太 僕 寺 卿 知 侍 内 書 寫 兵 番 臣 阮 公 董	Hoằng tín đại phu Bồi tụng Thái bộc tự khanh tri Thị nội thư tả Binh phiên thần Nguyễn Công Đổng	
弘 信 大 夫 陪 從 鴻 矑 寺 卿 知 侍 内 書 寫 户	Hoằng tín đại phu Bồi tụng Hồng lô tự khanh tri Thị nội thư tả Hộ	
番 臣 武 城	Phiên thần Vũ Thạnh	
弘 信 大 夫 陪 從 奉 天 府 尹 知 水 師 臣 何 宗 穆	Hoằng tín đại phu Bồi tụng Phụng Thiên phủ doãn tri Thuỷ sư thần Hà Tông Mục	
進 功 郎 陪 從 吏 科 級 事 中 知 侍 内 書 寫 户 番 臣 阮 行	Tiến công lang Bồi tụng Lại khoa cấp sự trung tri Thị nội thư tả Hộ phiên thần Nguyễn Hành	
進 功 郎 户 科 給 事 中 臣 阮 致 中	Tiến công lang Hộ khoa cấp sự trung thần Nguyễn Trí Trung	
進 功 郎 工 科 給 事 中 臣 阮 當 褒	Tiến công lang Công khoa cấp sự trung thần Nguyễn Đương Bao	
謹 事 郎 翰 林 院 校 理 臣 阮 邁	Cẩn sự lang Hàn lâm viện hiệu lý thần Nguyễn Mại	
謹 事 佐 郎 翰 林 院 校 討 臣 阮 湖	Cẩn sự tá lang Hàn lâm viện hiệu thảo thần Nguyễn Hồ	
謹 事 佐 郎 翰 林 院 校 討 臣 吳 公 擢	Cẩn sự tá lang Hàn lâm viện hiệu thảo thần Ngô Công Trạc	
進 功 郎 昭 文 舘 司 訓 臣 陳 附 翼	Tiến công lang Chiêu Văn quán tư huấn thần Trần Phụ Dực	
進 功 郎 昭 文 舘 司 訓 臣 杜 公 弼	Tiến công lang Chiêu Văn quán tư huấn thần Đỗ Công Bật	
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 總 太 監 副 知 侍 内 書 寫 兵 番 寬 海 侯 臣 范 廷 僚 奉 監 謄 刊	Nội sai đặc tiến kim tử Vinh Lộc đại phu Tư lễ giám tổng thái giám phó tri Thị nội thư tả Binh phiên Khoan Hải hầu thần Phạm Đình Liêu phụng giám đằng san	
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 同 知 監 事 僉 知 歩 兵 書 寫 令 史 校 義 侯 臣 阮 成 名 奉 監 謄 刊	Nội sai đặc tiến kim tử Vinh lộc đại phu Tư lễ giám đồng tri giám sự Thiêm tri bộ binh thư tả lệnh sử Hiệu Nghĩa hầu thần Nguyễn Thành Danh phụng giám đằng san	
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 左 監 丞	Nội sai đặc tiến kim tử Vinh lộc đại phu Tư lễ giám tả giám thừa	
珪 祥 侯 臣 阮 俊 堂 奉 監 謄 刊	Khuê Tường hầu thần Nguyễn Tuấn Đường phụng giám đằng san	
内 差 特 進 金 紫 縈 禄 大 夫 司 禮 監 左 監 丞 望 祥 侯 臣 吳 冠 倫 奉 監 謄 刊	Nội sai đặc tiến kim tử Vinh Lộc đại phu Tư lễ giám tả giám thừa Vọng Tường hầu thần Ngô Quán Luân phụng giám đằng san	
特 進 金 紫 縈 禄 大 夫 少 卿 副 勾 将 臣 吏 燿 堂 子 臣 吳 德 勝 奉 㸔 謄 寫	Nội sai đặc tiến kim tử Vinh Lộc đại phu Thiếu khanh phó câu kê tướng thần lại Diệu Đường tử thần Ngô Đức Thắng phụng khán đằng tả	
副 該 合 臣 吏 少 卿 洪 江 男 臣 棃 仕 勳 奉 属 㸔 謄	Phó cai hợp tướng thần lại Thiếu khanh Hồng Giang nam thần Lê Sĩ Huân phụng thuộc khán đằng	
優 中 侍 内 書 寫 兵 番 臣 髙 登 朝 奉 謄	Ưu trúng thị nội thư tả Binh phiên thần Cao Đăng Triều phụng đằng	
優 中 侍 内 書 寫 兵 番 臣 杜 公 廉 奉 謄	Ưu trúng thị nội thư tả Binh phiên thần Đỗ Công Liêm phụng đằng	
優 中 侍 内 書 寫 水 兵 番 臣 鄧 有 斐 奉 謄	Ưu trúng thị nội thư tả Thuỷ binh phiên thần Đặng Hữu Phỉ phụng đằng	
優 中 都 吏 臣 阮 有 德 奉 謄	Ưu trúng đô lại thần Nguyễn Hữu Đức phụng đằng	
梓 人 紅 录 柳 幢 等 社 人 奉 刊	Thợ khắc ở các xã Hồng Lục Liễu Chàng vâng lệnh khắc in	
大 越 史 記 續 編 書	ĐẠI VIỆT SỬ KÝ TỤC BIÊN THƯ	
國 史 何 為 而 作 也 盖 史 以 記 事 為 主	Vì sao mà làm quốc sử Vì sử chủ yếu là để ghi chép sự việc	
有 一 代 之 治 必 有 一 代 之 史	Có chính trị của một đời tất phải có sử của một đời	
而 史 之 載 筆 持 論 甚 嚴 如 黼 黻 至 治 與 日 月 而 並 明 铁 鉞 亂 賊 與 秋 霜 而 俱 厲	Mà ngòi bút chép sử giữ nghị luận rất nghiêm ca ngợi đời thịnh thì sáng tỏ ngang với mặt trời mặt trăng lên án kẻ loạn tặc thì gay gắt như sương thu lạnh buốt	
善 者 知 可 以 為 法 惡 者 知 可 以 為 戒 係 治 體 不 為 不 多	Người thiện biết có thể bắt chước người ác biết có thể tự răn quan hệ đến việc chính trị không phải là không nhiều	
故 有 爲 而 作 也	Cho nên làm sử là cốt để cho được như thế	
粤 自 我 國 繼 天 地 之 開 闢 鴻 庞 氏 首 出 御 世 歷 至 國 朝 黎 恭 皇 有 君 有 臣 有 體 統 其 政 治 之 得 失 世 道 之 隆 汚 禮 樂 之 興 人 物 之 賢 否 莫 不 僃 載	Kể từ khi nước ta nối tiếp sự mở mang của trời đất họ Hồng Bàng bắt đầu ra trị đời trải đến Lê Cung Hoàng của quốc triều có vua có tôi có thể thống chính trị hay dở thế đạo thịnh suy lễ nhạc dựng bỏ nhân vật hiền kém không việc gì không chép đủ	
於 史 之 中	Ở trong sử sách	
試 嘗 考 之 昔 翰 林 院 學 士 兼 國 史 院 監 修 黎 文 休 承 陳 太 宗 之 命 編 大 越 史 記 自 趙 武 帝 至 李 昭 皇 及 修 史 官 潘 孚 先 奉 皇 朝 仁 宗 命 續 編 大 越 史 記 自 陳 太 宗 至 明 人 還 國	Từng thử khảo xét Xưa Hàn lâm viện học sĩ kiêm Quốc sử viện giám tu Lê Văn Hưu vâng mệnh Trần Thái Tông soạn sách Đại Việt Sử Ký từ Triệu Vũ Đế đến Lý Chiêu Hoàng và Sử quan tu sử là Phan Phu Tiên vâng mệnh Nhân Tông của bản triều chép nối Đại Việt Sử Ký từ Trần Thái Tông đến khi người Minh về nước	
其 抑 揚 大 義 已 昭 昭 於 史 筆 之 公 論 矣	Thế là nghĩa lớn khen chê đã rõ rệt ở lời công luận của sử bút	
迨 聖 宗 淳 皇 帝 稟 睿 智 之 資 厲 英 雄 之 志 拓 土 開 疆 創 法 定 制 尤 留 意 史 籍	Kịp đến Thánh Tông Thuần Hoàng Đế bẩm tính trí tuệ hăng chí anh hùng khai thác đất đai mở mang bờ cõi lập phép tắc định chế độ lại rất lưu ý sử sách	
乃 於 洪 德 十 年 間 命 禮 部 左 侍 郎 兼 國 子 監 司 業 吳 士 連 纂 修 大 越 史 記 全 書	Khoảng năm Hồng Đức thứ mười sai Lễ bộ hữu thị lang kiêm Quốc sử giám tư nghiệp Ngô Sĩ Liên biên soạn Đại Việt Sử Ký toàn thư	
繼 以	Tiếp đến	
襄 翼 帝 於 洪 順 三 年 命 兵 部 尙 書 兼 國 子 監 司 業 兼 史 官 都 總 裁 武 撰 大 越 通 鑑 述 自 鴻 庞 氏 至 十 二 使 君 别 為 外 紀 自 丁 先 皇 至 國 朝 太 祖 髙 皇 帝 大 定 天 下 年 為 本 紀	Tương Dực Đế năm Hồng Thuận thứ ba sai Binh bộ thượng thư kiêm Quốc tử giám tư nghiệp kiêm Sử quan đô tổng tài Vũ Quỳnh soạn Đại Việt Thông Giám chép từ Hồng Bàng thị đến Mười hai sứ quân tách riêng làm Ngoại Kỷ từ Đinh Tiên Hoàng đến năm đầu Thái Tổ Cao Hoàng Đế bản triều đại định thiên hạ làm Bản Kỷ	
其 筆 削 大 法 又 炳 炳 於 史 筆 之 徵 㫖 矣	Phép lớn về việc chép hay bỏ lại được thể hiện rõ trong ý chỉ tinh vi của sử bút	
至 於 洪 順 六 年 又 命 少 保 禮 部 尙 書 東 閣 大 學 士 兼 國 子 監 祭 酒 知 經 筵 事 書 伯 黎 嵩 大 越 通 鑑 總 論 可 謂 篤 志 於 史 學 而 其 是 非 亦 不 逃 於 公 議 矣	Đến năm Hồng Thuận thứ sáu lại sai thiếu bảo Lễ bộ thượng thư Đông các đại học sĩ kiêm Quốc tử giám tế tửu tri Kinh diên sự là Đôn Thư bá Lê Tung soạn bài Đại Việt Thông Giám Tổng Luận có thể nói là dốc trí vào sử học mà sự khen chê cũng không thể nào vượt ra ngoài công nghị được	
暨 光 紹 五 年 又 命 禮 部 尙 書 史 官 副 都 總 裁 知	Đến năm Quang Thiệu thứ năm lại sai Lễ bộ thượng thư Sử quan phó đô tổng tài tri	
