大 越 史 記 續 編 序	Đại Việt sử kí tục biên tự	
國 之 有 史 尙 矣	Quốc chi hữu sử thượng hĩ	
我 越 歷 代 史 記 先 正 黎 文 休 潘 孚 先 作 之 於 前 吳 士 連 武 瓊 述 之 於 後	Ngã Việt lịch đại sử kí tiên chính Lê Văn Hưu Phan Phu Tiên tác chi ư tiền Ngô Sĩ Liên Vũ Quỳnh thuật chi ư hậu	
其 間 事 蹟 之 詳 畧 政 治 之 得 失 莫 不 悉 備 於 記 载 之 中	Kì gian sự tích chi tường lược chính trị chi đắc thất mạc bất tất bị ư kí tải chi trung	
但 未 行 鋟 梓 更 手 傳 筆 因 循 抄 録 不 䏻 無 陶 陰 帝 乕 之 疑	Đãn vị hành tẩm tử cánh thủ truyền bút nhân tuần sao lục bất năng vô đào âm đế hổ chi nghi	
迨 至	Đãi chí	
我 朝 玄 宗 穆 皇 帝 臨 御 之 𥘉 頼 弘 祖 陽 王 興 建 治 平 造 就 𭓇 問 命 宰 臣 范 公 著 等 參 考 𦾔 史 有 如 史 記 外 紀 本 紀 全 書 本 紀 實 録 並 依 前 史 名 例 又 參 究 編 述 自 國 朝 荘 宗 裕 皇 帝 至	ngã triều Huyền Tông Mục Hoàng Đế lâm ngự chi sơ lại Hoằng Tổ Dương Vương hưng kiến trị bình tạo tựu học vấn mệnh tể thần Phạm Công Trứ đẳng tham khảo cựu sử hữu như Sử kí ngoại kỉ Bản kỉ toàn thư Bản kỉ thực lục tịnh y tiền sử danh lệ hựu tham cứu biên thuật tự Quốc triều Trang Tông Dụ Hoàng Đế chí	
神 宗 渊 皇 帝 增 入 國 史 命 曰 本 紀 續 編 付 諸 刊 刻 十 纔 五 六	Thần Tông Uyên Hoàng Đế tăng nhập quốc sử mệnh viết bản kỉ tục biên phó chư san khắc thập tài ngũ lục	
第 事 未 告 竣 猶 藏 於 秘 閣	Đệ sự vị cáo thuân do tàng ư Bí các	
求 䏻 繼 其 志 而 述 其 事 纂 其 要 而 集 其 成 盖 必 有 待 於 今 日 矣	Cầu năng kế kì chí nhi thuật kì sự toản kì yếu nhi tập kì thành cái tất hữu đãi ư kim nhật hĩ	
欽 帷 皇 上 陛 下 理 會 道 源 緝 熙 敬 學 寔 頼 大 元 帥 綂 國 政 上 聖 父 師 盛 功 仁 明	Khâm duy Hoàng thượng bệ hạ lí hội đạo nguyên tập hi kính học thực lại Đại nguyên soái thống quốc chính thượng thánh phụ sư thịnh công nhân minh	
