cn,sv,vi
"梅竹平安春意滿
春喜井茂寿源長","Mai trúc bình an xuân ý mãn;
Xuân hỷ tỉnh mậu thọ nguyên trường.","Mai trúc vui xuân đều mãn ý;
Xoan huyên hưởng thọ thoả dài nguồn."
"勤労浄洗長生財
俭朴栽来聚宝盆","Cần lao tịnh tẩy trường sinh tài;
Kiệm phác thác lai tụ bảo bồn.","Cần lao chăm đức cậy tài lộc;
Kiệm ước tạo nên chĩnh dụng vàng."
"萬樹欣隨春水緑
百花争向陽光紅","Vạn thụ hân tuỳ xuân thuỷ lục;
Bách hoa tranh hướng dương quang hồng.","Nước biếc xuân về cây hớn hở;
Trời hồng ấm đến vạn hoa đua."
"萬戸管絃歌盛世
百般紅紫繡芳春","Vạn hộ quản huyền ca thịnh thế;
Bách ban hồng tử tú phương xuân.","Muôn hộ sáo đàn ca thịnh thế;
Trăm mẫu hồng tía dệt xuân vui."
"萬衆一心同獻策
百花齊放共争春","Vạn chúng nhất tâm đồng hiến sách;
Bách hoa tề phóng cộng tranh xuân.","Quần chúng một lòng chung hiến kế;
Trăm hoa đua nở góp thêm xuân."
"汗水潤秋歡歡豐收曲
政策指路致開致富門","Hãn thủy nhuận hậu hoan xướng phong thu khúc;
Chính sách chỉ lộ xao khai trí phú môn.","Mồ hôi nhuận giọng hát lên khúc mùa được;
Chính sách chỉ đường gọi mở hướng làm giàu."
"花迎喜氣
鳥唱春光","Hoa nghênh hỷ khí;
Điểu xướng xuân quang.","Hoa chào điềm tốt;
Chim hót ánh xuân."
"天開淑景
人樂豐年","Thiên khai thục cảnh;
Nhân lạc phong niên.","Trời mở cảnh thịnh;
Người vui bội thu."
"遊子春來思竹裏
故鄉人到問桃鄉","Du tử xuân lai tư trúc lý;
Cố hương nhân đáo vấn đào làn.","Xa nhà xuân đến nhớ làng trúc;
Quê cũ người qua hỏi xóm đào."
"詩懷淡處臨春水
文味閒時數落花","Thì hoài đạm xứ, lâm xuân thủy;
Văn vị nhàn thời, số lạc hoa.","Thơ khi lồng tình, sóng xuân ghé;
Văn lúc thanh nhàn, đếm hoa rơi."
"風聲滿徑竹經輕
春氣入林花野如","Phong thanh mãn kính trúc kiên nhỉ;
Xuân khí nhập lâm hoa dã nhụ.","Đây lối gió lùa trúc ken đặc;
Chặt rừng xuân đến mờ mịt hoa."
"春風繞塔傳詩韻
雅蝶臨窗菊墨香","Xuân phong nhiễu tháp truyền thi vận;
Nhã điệp lâm song cúc mặc hương.","Gió xuân thổi sập truyền thi hứng;
Bướm đẹp vào song mực mục thơm."
"瑞獻雲霞麗棟宇
襟聯奎璧耀門庭","Thụy hiến vân hà, chiếm đống vũ;
Huy liên khuê bích, diệu môn đình.","Vui báo ráng mây, xem nhà chĩnh;
Sắc liền ngọc bích, tỏ sân thêm."
"畫不充飢休為名士
文而諾性大有機人","Họa bất sung cơ, hưu vi danh sĩ;
Văn nhi nặc tính, đại hữu cơ nhân.","Họa không đủ no, không kể danh sĩ;
Văn mà dấu họ, tất có vấn đề."
"迎春正啟俄山席
愛客偏浮鉢場杯","Nghinh xuân chính khởi Nga Sơn tịch;
Ái khách thiên phù Bát Tràng bôi.","Đón xuân trải rộng chiếu Nga Sơn;
Mến khách rót đầy chén Bát Tràng."
"桃花點翠芳千朵
蒸餅開靑紫萬家","Đào hoa điểm, tranh phương thiên đóa;
Chưng bỉnh khai, hoan lạc vạn gia.","Hoa đào nở, thơm lừng ngàn đóa;
Bánh chưng khui, vui vẻ muôn nhà."
"喜見玉梅醉舊榻
還期綠柳染新衣","Hỷ kiến ngọc mai tú cựu lập;
Hoàn kỳ lục liễu nhiễm tân y.","Vui thấy mâm mai chào thang chạp;
Lại chờ nhành liễu chuyển màu xanh."
