cn,vi
代 天 行 化 皇 上 若 曰。,"Thay trời hành hóa, hoàng thượng truyền rằng."
蓋 聞﹕,Từng nghe:
仁 義 之 舉，要 在 安 民 ，,Việc nhân nghĩa cốt ở yên dân
弔 伐 之 師，莫 先 去 暴 。,Quân điếu phạt trước lo trừ bạo
"惟 我 大 越 之 國 ,",Như nước Đại Việt ta từ trước
實 為 文 獻 之 邦 。,Vốn xưng nền văn hiến đã lâu
"山 川 之 封 域 既 殊,",Núi sông bờ cõi đã chia
南 北 之 風 俗 亦 異 。,Phong tục Bắc Nam cũng khác
自 趙 丁 李 陳 之 肇 造 我 國 ，,"Từ Triệu, Đinh, Lý, Trần bao đời xây nền độc lập"
與 漢 唐 宋 元 而 各 帝 一 方 。,"Cùng Hán, Đường, Tống, Nguyên mỗi bên hùng cứ một phương"
雖 強 弱 時 有 不 同,Tuy mạnh yếu có lúc khác nhau
而 豪 傑 世 未 常 乏 。,Song hào kiệt thời nào cũng có.
"故 劉 龔 貪 功 以 取 敗,","Lưu Cung tham công nên thất bại,"
而 趙 禼 好 大 以 促 亡 。,"Triệu Tiết thích lớn phải tiêu vong,"
唆 都 既 擒 於 鹹 子 關 ，,Cửa Hàm tử bắt sống Toa Đô
烏 馬 又 殪 於 白 藤 海 。,Sông Bạch Đằng giết tươi Ô Mã
"嵇 諸 往 古,","Việc xưa xem xét,"
厥 有 明 徵。,Chứng cớ còn ghi.
頃 因 胡 政 之 煩 苛 。,"Nhân họ Hồ chính sự phiền hà,"
至 使 人 心 之 怨 叛 。,Để trong nước lòng dân oán hận.
"狂 明 伺 隙, 因 以 毒 我 民；","Quân cuồng Minh thừa cơ gây họa,"
"惡 黨 懷 奸, 竟 以 賣 我 國 。",Bọn gian tà còn bán nước cầu vinh.
焮 蒼 生 於 虐 焰，,"Nướng dân đen trên ngọn lửa hung tàn,"
陷 赤 子 於 禍 坑 。,Vùi con đỏ xuống dưới hầm tai vạ.
"欺 天 罔 民, 詭 計 蓋 千 萬 狀;","Dối trời lừa dân đủ muôn ngàn kế,"
連 兵 結 釁 稔 惡 殆 二 十 年 。,Gây thù kết oán trải mấy mươi năm.
"敗 義 傷 仁, 乾 坤 幾 乎 欲 息;","Bại nhân nghĩa nát cả đất trời,"
"重 科 厚 歛, 山 澤 靡 有 孑 遺。",Nặng thuế khóa sạch không đầm núi.
"開 金 場 塞 冒 嵐 瘴 而 斧 山 淘 沙,","Người bị ép xuống biển dòng lưng mò ngọc, ngán thay cá mập thuồng luồng."
採 明 珠 則 觸 蛟 龍 而 緪 腰 汆 海 。,"Kẻ bị đem vào núi đãi cát tìm vàng, khốn nỗi rừng sâu, nước độc."
擾 民 設 玄 鹿 之 陷 阱 ，,"Vét sản vật, bắt dò chim sả, chốn chốn lưới chăng,"
殄 物 織 翠 禽 之 網 羅 。,"Nhiễu nhân dân, bắt hươu đen, nơi nơi cạm đặt."
"昆 虫 草 木 皆 不 得 以 遂 其 生,","Tàn hại cả giống côn trùng cây cỏ,"
鰥 寡 顛 連 俱 不 獲 以 安 其 所 。,Nheo nhóc thay kẻ góa bụa khốn cùng.
浚 生 靈 之 血 以 潤 桀 黠 之 吻 牙；,"Thằng há miệng, đứa nhe răng, máu mỡ bấy no nê chưa chán ;"
極 土 木 之 功 以 崇 公 私 之 廨 宇 。,"Nay xây nhà, mai đắp đất, chân tay nào phục dịch cho vừa."
"州 里 之 征 徭 重 困,","Nặng nề những nổi phu phen,"
閭 閻 之 杼 柚 皆 空 。,Tan tác cả nghề canh cửi.
"決 東 海 之 水 不 足 以 濯 其 污,","Độc ác thay, trúc Nam Sơn không ghi hết tội,"
罄 南 山 之 竹 不 足 以 書 其 惡 。,"Dơ bẩn thay, nước Đông Hải không rửa sạch mùi."
"神 民 之 所 共 憤,","Lẽ nào trời đất dung tha,"
天 地 之 所 不 容 。,Ai bảo thần dân chịu được?
予,Ta đây:
"奮 跡 藍 山,",Núi Lam sơn dấy nghĩa
棲 身 荒 野 。,Chốn hoang dã nương mình
"念 世 讎 豈 可 共 戴,",Ngẫm thù lớn há đội trời chung
誓 逆 賊 難 與 俱 生 。,Căm giặc nước thề không cùng sống
"痛 心 疾 首 者 垂 十 餘 年,","Đau lòng nhức óc, chốc đà mười mấy năm trời"
嘗 膽 臥 薪 者 蓋 非 一 日 。,"Nếm mật nằm gai, há phải một hai sớm tối."
"發 憤 忘 食, 每 研 覃 韜 略 之 書,","Quên ăn vì giận, sách lược thao suy xét đã tinh,"
"即 古 驗 今, 細 推 究 興 亡 之 理 。","Ngẫm trước đến nay, lẽ hưng phế đắn đo càng kỹ."
圖 回 之 志,"Những trằn trọc trong cơn mộng mị,"
寤 寐 不 忘 。,Chỉ băn khoăn một nỗi đồ hồi
"當 義 旗 初 起 之 時,","Vừa khi cờ nghĩa dấy lên,"
正 賊 勢 方 張 之 日 。,Chính lúc quân thù đang mạnh.
奈 以 ﹕,Lại ngặt vì:
"人 才 秋 葉,","Tuấn kiệt như sao buổi sớm,"
俊 傑 晨 星 。,"Nhân tài như lá mùa thu,"
奔 走 先 後 者 既 乏 其 人 ，,"Việc bôn tẩu thiếu kẻ đỡ đần,"
謀 謨 帷 幄 者 又 寡 其 助。,"Nơi duy ác hiếm người bàn bạc,"
"特 以 救 民 之 念, 每 鬱 鬱 而 欲 東;","Tấm lòng cứu nước, vẫn đăm đăm muốn tiến về Đông,"
"故 於 待 賢 之 車, 常 汲 汲 已 虛 左 。","Cỗ xe cầu hiền, thường chăm chắm còn dành phía tả."
然 其,Thế mà:
"得 人 之 效 茫 若 望 洋,","Trông người, người càng vắng bóng, mịt mù như nhìn chốn bể khơi."
由 己 之 誠 甚 於 拯 溺 。,"Tự ta, ta phải dốc lòng, vội vã hơn cứu người chết đuối."
"憤 兇 徒 之 未 滅,","Phần vì giận quân thù ngang dọc,"
念 國 步 之 遭 迍 。,"Phần vì lo vận nước khó khăn,"
"靈 山 之 食 盡 兼 旬,","Khi Linh Sơn lương hết mấy tuần,"
瑰 縣 之 眾 無 一 旅 。,Lúc Khôi Huyện quân không một đội.
"蓋 天 欲 困 我 以 降 厥 任,",Trời thử lòng trao cho mệnh lớn
故 與 益 勵 志 以 濟 于 難 。,Ta gắng trí khắc phục gian nan.
"揭 竿 為 旗, 氓 隸 之 徒 四 集","Nhân dân bốn cõi một nhà, dựng cần trúc ngọn cờ phấp phới"
"投 醪 饗 士, 父 子 之 兵 一 心 。","Tướng sĩ một lòng phụ tử, hòa nước sông chén rượu ngọt ngào."
"以 弱 制 彊, 或 攻 人 之 不 備;","Thế trận xuất kỳ, lấy yếu chống mạnh,"
"以 寡 敵 眾, 常 設 伏 以 出 奇。","Dùng quân mai phục, lấy ít địch nhiều."
卒 能,Trọn hay:
