cn,vi
天地風塵,Trời đất phong trần
紅顏多屯,Hồng nhan đa truân
悠悠彼蒼兮誰造因,Thăm thẳm xanh kia hề ai tạo nhân
鼓鼙聲動長城月,Trống trận gầm lay trường thành nguyệt
烽火影照甘泉雲,Lửa hiệu rực chiếu Cam Tuyền vân
九重按劍起當席,Chín bệ chống gươm rời chiếu ấm
半夜飛檄傳將軍,Nửa đêm truyền hịch triệu tướng quân
清平三百年天下,Thanh bình ba trăm năm bờ cõi
從此戎衣屬武臣,Nhung phục từ đây khoác võ thần.
使星天門催曉發,Sứ trời cửa thiên sớm giục giã
行人重法輕離別,"Người đi tình nhẹ, nặng nghĩa cả"
弓箭兮在腰,Cung tiễn hề mang lưng
妻孥兮別袂,Vợ con hề từ giã
獵獵旌旗兮出塞愁,Lớp lớp sông cờ hề sầu ra ải
喧喧簫鼓兮辭家怨,Inh ỏi tiêu trống hề oán ly gia
有怨兮分攜,Có oán hề chia lìa
有愁兮契闊,Có sầu hề vất vả
良人二十吳門豪,"Đôi mươi tuổi, chàng Ngô anh hào"
投筆硯兮事弓刀,Bỏ bút nghiên hề theo cung đao
直把連城獻明聖20,Muốn đem thành liền dâng vua thánh
願將尺劍斬天驕,Nguyện mang thước kiếm chém loài ngạo
丈夫千里志馬革,Trượng phu ngàn dặm lòng da ngựa
泰山一擲輕鴻毛,Thái Sơn gieo nhẹ tựa hồng mao.
便辭閨閫從征戰,Giã từ then cửa vào chinh chiến
西風鳴鞭出渭橋,Gió hú roi kêu khỏi Vị kiều
渭橋頭清水溝,Đầu Vị kiều ngòi nước trong
清水邊青草途,"Bên nước trong, bên suối ròng"
送君處兮心悠悠,Tiễn chân chàng hề buồn mênh mông
君登途兮妾恨不如駒,Thiếp giận chẳng như ngựa hề chàng lên đường
君臨流兮妾恨不如舟,Thiếp giận chẳng như thuyền hề chàng theo sông
清清有流水,Trong trong dòng nước chảy
不洗妾心愁,Khôn gột mối tơ lòng
青青有芳草,Xanh xanh bờ cỏ ngát
不忘妾心憂,Khôn vợi nỗi nhớ mong
語復語兮執君手,Nói lại nói hề đưa tay với
步一步兮牽君襦,Bước một bước hề vịn áo nhung
妾心隨君似明月,Lòng thiếp theo chàng như minh nguyệt
君心萬里千山箭,Lòng chàng muôn dặm thiên sơn tiễn
擲離杯兮舞龍泉,Gieo ly bôi hề múa Long Tuyền
橫征槊兮指虎穴,Nâng ngọn giáo hề chỉ hổ huyệt
云隨介子獵樓蘭,Rằng theo Giới Tử bắt Lâu Lan
笑向蠻溪談馬援,Cười hướng Man Khê bàn Mã Viện
君穿壯服紅如霞,Áo chàng vận đỏ tựa ráng pha
君騎驍馬白如雪,Ngựa chàng cưỡi trắng như bạch tuyết
驍馬兮鸞鈴,Nhạc ngựa hề vang ngân
征鼓兮人行,Người đi hề trống trận
須臾中兮對面,Giữa phút giây hề đối diện
頃刻裡兮分程,Trong khoảnh khắc hề ly phân
分程兮河梁,Phân ly hề Hà Lương
徘徊兮路旁,Bồi hồi hề bên đường
路旁一望兮旆央央,Bên đường nhìn thóang cờ khoa trương
前車兮北細柳,Xe trước hề Bắc Tế Liễu
後騎兮西長楊,Ngựa sau hề Tây Trường Dương
騎車相擁君臨塞,Ngựa xe cùng tiễn ra quan ải
楊柳那知妾斷腸,Dương liễu đâu hay thiếp đọan trường
去去落梅聲漸遠,Khuất khuất sáo mai âm dần khẽ
行行征旆色何忙,Đi đi cờ chiến thoáng sau nương
望雲去兮郎別妾,Trông mây đi hề chàng ly biệt
望山歸兮妾思郎,Ngó núi về hề thiếp nhớ thương
郎去程兮濛雨外,Chàng ra ải hề ngoài mưa gió
妾歸處兮昨夜房,Thiếp lại phòng hề trong vấn vương
歸去兩回顧,Đi về đều ngoảnh lại
雲青兮山蒼,Xanh biếc hề núi sương
郎顧妾兮咸陽,Chàng trông thiếp hề Hàm Dương
妾顧郎兮瀟湘,Thiếp ngóng chàng hề Tiêu Tương
瀟湘煙阻咸陽樹,Tiêu Tương mây cản Hàm Dương thụ
咸陽樹隔瀟湘江,Hàm Dương thụ cách Tiêu Tương giang
相顧不相見,Cùng trông cùng chẳng thấy
