cn,vi
大越史記續編序,Đại Việt sử kí tục biên tự.
國之有史尙矣,Quốc chi hữu sử thượng hĩ.
我越歷代史記先正黎文休潘孚先作之於前吳士連武瓊述之於後,"Ngã Việt, lịch đại sử kí tiên chính Lê Văn Hưu, Phan Phu Tiên tác chi ư tiền, Ngô Sĩ Liên, Vũ Quỳnh thuật chi ư hậu."
其間事蹟之詳畧政治之得失莫不悉備於記载之中,"Kì gian sự tích chi tường lược, chính trị chi đắc thất, mạc bất tất bị ư kí tải chi trung."
但未行鋟梓更手傳筆因循抄録不䏻無陶陰帝乕之疑,"Đãn vị hành tẩm tử, cánh thủ truyền bút, nhân tuần sao lục, bất năng vô đào âm đế hổ chi nghi."
迨至,Đãi chí ...
我朝玄宗穆皇帝臨御之𥘉頼弘祖陽王興建治平造就𭓇問命宰臣范公著等參考𦾔史有如史記外紀本紀全書本紀實録並依前史名例又參究編述自國朝荘宗裕皇帝至,"ngã triều Huyền Tông Mục Hoàng Đế lâm ngự chi sơ, lại Hoằng Tổ Dương Vương hưng kiến trị bình, tạo tựu học vấn, mệnh tể thần Phạm Công Trứ đẳng tham khảo cựu sử, hữu như Sử kí ngoại kỉ, Bản kỉ toàn thư, Bản kỉ thực lục, tịnh y tiền sử danh lệ, hựu tham cứu biên thuật tự Quốc triều Trang Tông Dụ Hoàng Đế chí ..."
神宗渊皇帝增入國史命曰本紀續編付諸刊刻十纔五六,"Thần Tông Uyên Hoàng Đế tăng nhập quốc sử, mệnh viết: bBn kỉ tục biên, phó chư san khắc, thập tài ngũ lục."
第事未告竣猶藏於秘閣,"Đệ sự vị cáo thuân, do tàng ư Bí các."
求䏻繼其志而述其事纂其要而集其成盖必有待於今日矣,"Cầu năng kế kì chí nhi thuật kì sự, toản kì yếu nhi tập kì thành, cái tất hữu đãi ư kim nhật hĩ."
欽帷皇上陛下理會道源緝熙敬學寔頼大元帥綂國政上聖父師盛功仁明,"Khâm duy: Hoàng thượng bệ hạ, lí hội đạo nguyên, tập hi kính học, thực lại Đại nguyên soái thống quốc chính thượng thánh phụ sư thịnh công nhân minh ..."
威德定王整頓乾坤綱維治教專委欽差節制各處水歩諸營兼掌政權太尉晉國公鄭柄賛㐮治化振作文風深帷史記之中明是非而公好惡森乎華衮斧鉞之榮嚴寔為萬世衡鑑,"uy đức Định Vương chỉnh đốn càn khôn, cương duy trị giáo, chuyên uỷ Khâm sai tiết chế các xứ thuỷ bộ chư dinh, kiêm Chưởng chính quyền thái uý Tấn quốc Công Trịnh Bính, tán tương trị hoá, chấn tác văn phong, thâm duy sử kí chi trung, minh thị phi nhi công hiếu ố, sâm hồ hoa cổn phủ việt chi vinh nghiêm, thực vi vạn thế hành giám."
乃於事幾之暇特命臣等訂考𦾔史訛者正之純者録之,"Nãi ư sự cơ chi hạ, đặc mệnh thần đẳng đính khảo cựu sử, ngoa giả chính chi, thuần giả lục chi."
其世次凣例年表一如前所著述,"Kì thế thứ, phàm lệ, niên biểu, nhất như tiền sở trước thuật."
又蓃獵𦾔跡參諸野史類編自玄宗穆皇帝景治之𥘉年至嘉宗羙皇帝德元之二年凣十有三載事實亦命曰本紀續編,"Hựu sưu liệp cựu tích, tham chư dã sử, loại biên tự Huyền Tông Mục Hoàng Đế Cảnh Trị chi sơ niên, chí Gia Tông Mĩ Hoàng Đế Đức Nguyên chi nhị niên, phàm thập hữu tam tải sự thực, diệc mệnh viết Bản kỉ tục biên."
書成上進御覽遂命工刊刻頒布天下使徔前,"Thư thành, thượng tiến ngự lãm, toại mệnh công san khắc, ban bố thiên hạ, sử tòng tiền ..."
天百年未集之事績遹底于成,"thiên bách niên vị tập chi sự tích, duật để vu thành."
天下之人目是編者豁然如覩青天坦然如循大路,"Thiên hạ chi nhân mục thị biên giả, khoát nhiên như đổ thanh thiên, thản nhiên như tuần đại lộ."
善者知所激昂惡者知所懲𠬠,"Thiện giả tri sở khích ngang, ác giả tri sở trừng một."
推而為脩齊治平之極功綏来動和之大效端在是矣,"Suy nhi vi tu tề trị bình chi cực công, tuy lai động hoà chi đại hiệu, đoan tại thị hĩ."
謹序,Cẩn tự.
𠱾,Thời ...
正和十八年嵗在丁丑仲冬榖日,"Chính Hoà thập bát niên, tuế tại Đinh Sửu, trọng đông, cốc nhật."
奉㫖考編特進金紫榮禄大夫參從刑部尙書知中書監萊山子臣黎僖,"Phụng chỉ khảo biên: Đặc tiến Kim tử Vinh lộc đại phu, Tham tụng, Hình bộ Thượng thư tri Trung thư giám, Lai Sơn tử, thần Lê Hi."
光進慎禄大夫陪從户部右侍郎廉堂男臣阮貴德,"Quang Tiến Thận Lộc đại phu, Bồi tụng, Hộ bộ Hữu thị lang, Liêm Đường nam, thần Nguyễn Quý Đức."
弘信大夫陪從太僕寺卿知侍内書寫兵番臣阮公董,"Hoằng Tín đại phu, Bồi tụng, Thái bộc tự khanh, tri Thị nội thư tả, Binh phiên, thần Nguyễn Công Đổng."
弘信大夫陪從鴻矑寺卿知侍内書寫户,"Hoằng Tín đại phu, Bồi tụng, Hồng lô tự khanh, tri Thị nội thư tả, Hộ ..."
番臣武城,"phiên, thần Vũ Thạnh."
