cn,sv,vi
國 之 有 史 尙 矣 .,Quốc chi hữu sử thượng hĩ.,Nước có sử đã từ lâu.
我 越 歷 代 史 記 先 正 文 休 潘 孚 先 作 之 於 前 吳 士 連 武 瓊 述 之 於 後 .,"Ngã Việt, lịch đại sử kí tiên chính Lê Văn Hưu, Phan Phu Tiên tác chi ư tiền, Ngô Sĩ Liên, Vũ Quỳnh thuật chi ư hậu.","Nước Việt ta, sử ký các đời do các tiên hiền Lê Văn Hưu, Phan Phu Tiên làm ra trước, Ngô Sĩ Liên, Vũ Quỳnh soạn tiếp sau."
其 間 事 蹟 之 詳 畧 政 治 之 得 失 莫 不 悉 備 於 記 载 之 中 .,"Kì gian sự tích chi tường lược, chính trị chi đắc thất, mạc bất tất bị ư kí tải chi trung.","Trong đó sự tích rõ hay lược, chính trị hay hoặc dở, không điều gì không ghi chép đủ."
但 未 行 鋟 梓 更 手 傳 筆 因 循 抄 錄 不 無 陶 陰 帝 之 疑 .,"Đãn vị hành tẩm tử, cánh thủ truyền bút, nhân tuần sao lục, bất năng vô đào âm đế hổ chi nghi.","Nhưng vì chưa khắc in, qua tay viết lại, theo nhau biên chép, không thể không có chỗ đáng ngờ ""đào-âm, đế-hổ""."
我 朝 玄 宗 穆 皇 帝 臨 御 之 頼 弘 祖 陽 王 興 建 治 平 造 就 問 命 宰 臣 范 公 著 等 參 考 史 有 如 史 記 外 紀 本 紀 全 書 本 紀 實 録 並 依 前 史 名 例 又 參 究 編 述 自 國 朝 荘 宗 裕 皇 帝 至 .,"ngã triều Huyền Tông Mục Hoàng Đế lâm ngự chi sơ, lại Hoằng Tổ Dương Vương hưng kiến trị bình, tạo tựu học vấn, mệnh tể thần Phạm Công Trứ đẳng tham khảo cựu sử, hữu như Sử kí ngoại kỉ, Bản kỉ toàn thư, Bản kỉ thực lục, tịnh y tiền sử danh lệ, hựu tham cứu biên thuật tự Quốc triều Trang Tông Dụ Hoàng Đế chí ...","triều ta, Huyền Tông Mục Hoàng Đế khi mới lên ngôi, nhờ có Hoằng Tổ Dương Vương [Trịnh Tạc] dấy nghiệp trị bình, tạo nền học vấn, sai tể thần là bọn Phạm Công Trứ kham khảo sử cũ như Sử ký ngoại kỷ, Bản kỷ toàn thư, Bản kỷ thực lục, đều y theo danh lệ của các sử trước, lại tham sét biên soạn từ quốc triều Trang Tông Dụ Hoàng Đế đến"
神 宗 渊 皇 帝 增 入 國 史 命 曰 本 紀 續 編 付 諸 刊 刻 十 纔 五 六 .,"Thần Tông Uyên Hoàng Đế tăng nhập quốc sử, mệnh viết: Bản kỉ tục biên, phó chư san khắc, thập tài ngũ lục.","Thần Tông Uyên Hoàng Đế để thêm vào quốc sử, đặt tên là Bản kỷ tục biên, giao cho khắc in, mười phần mới được chừng năm, sáu."
第 事 未 告 竣 猶 藏 於 秘 閣 .,"Đệ sự vị cáo thuân, do tàng ư Bí các.","Nhưng công việc chưa xong, sách còn cất giữ ở Bí các."
求 繼 其 志 而 述 其 事 纂 其 要 而 集 其 成 盖 必 有 待 於 今 日 矣 .,"Cầu năng kế kì chí nhi thuật kì sự, toản kì yếu nhi tập kì thành, cái tất hữu đãi ư kim nhật hĩ.","Mong nối chí người xưa, thuật lại việc trước, tóm gọn điều cốt yếu, tập hợp cho hoàn thành, tất còn phải đợi đến ngày nay."
欽 帷 皇 上 陛 下 理 會 道 源 緝 熙 敬 學 寔 頼 大 元 帥 綂 國 政 上 聖 父 師 盛 功 仁 明 .,"Khâm duy: Hoàng thượng bệ hạ, lí hội đạo nguyên, tập hi kính học, thực lại Đại nguyên soái thống quốc chính thượng thánh phụ sư thịnh công nhân minh ...","Kính nghĩ: Hoàng thượng bệ hạ hiểu thấu nguồn đạo, kính học nối sáng, thực là nhờ Đại nguyên suý thống quốc chính thượng thánh phụ sư thịnh công nhân minh."
威 德 定 王 整 頓 乾 坤 綱 維 治 教 專 委 欽 差 節 制 各 處 水 歩 諸 營 兼 掌 政 權 太 尉 晉 國 公 鄭 柄 賛 治 化 振 作 文 風 深 帷 史 記 之 中 明 是 非 而 公 好 惡 森 乎 華 衮 斧 鉞 之 榮 嚴 寔 為 萬 世 衡 鑑 .,"uy đức Định Vương chỉnh đốn càn khôn, cương duy trị giáo, chuyên uỷ Khâm sai tiết chế các xứ thuỷ bộ chư dinh, kiêm Chưởng chính quyền thái uý Tấn quốc Công Trịnh Bính, tán tương trị hoá, chấn tác văn phong, thâm duy sử kí chi trung, minh thị phi nhi công hiếu ố, sâm hồ hoa cổn phủ việt chi vinh nghiêm, thực vi vạn thế hành giám.","uy đức Định Vương [Trịnh Căn] chỉnh đốn càn khôn, xếp đặt trị giáo, riêng uỷ thác cho Khâm sai tiết chế các xứ thuỷ bộ chư doanh, kiêm Chưởng chính quyền thái uý Tấn quốc công Trịnh Bính giúp đỡ chính trị giáo hoá, chấn hưng phong tục văn minh, nghĩ sâu sắc rằng những điều ghi chép trong sử tỏ rõ phải trái, công bằng yêu ghét, vinh hơn hoa cổn, nghiêm hơn búa rìu, thực là cái cân, cái gương của muôn đời."
乃 於 事 幾 之 暇 特 命 臣 等 訂 考 史 訛 者 正 之 純 者 錄 之 .,"Nãi ư sự cơ chi hạ, đặc mệnh thần đẳng đính khảo cựu sử, ngoa giả chính chi, thuần giả lục chi.","Bèn nhân lúc công việc nhàn rỗi, sai bọn thần khảo đính sử cũ, chỗ nào sai thì sửa lại, chỗ nào đúng thì chép lấy."
其 世 次 凣 例 年 表 一 如 前 所 著 述 .,"Kì thế thứ, phàm lệ, niên biểu, nhất như tiền sở trước thuật.","Về thế thứ, phàm lệ, niên biểu, hết thảy đều theo như thời trước đã trước thuật."
又 蓃 獵 跡 參 諸 野 史 類 編 自 玄 宗 穆 皇 帝 景 治 之 年 至 嘉 宗 羙 皇 帝 德 元 之 二 年 凣 十 有 三 載 事 實 亦 命 曰 本 紀 續 編 .,"Hựu sưu liệp cựu tích, tham chư dã sử, loại biên tự Huyền Tông Mục Hoàng Đế Cảnh Trị chi sơ niên, chí Gia Tông Mĩ Hoàng Đế Đức Nguyên chi nhị niên, phàm thập hữu tam tải sự thực, diệc mệnh viết Bản kỉ tục biên.","Lại sưu tầm sự tích cũ, tham khảo các dã sử, loại biên từ Huyền Tông Mục Hoàng Đế niên hiệu Cảnh Trị năm đầu đến Gia Tông Mỹ Hoàng Đế năm Đức Nguyên thứ hai, tất cả sự thực trong mười ba năm, cũng gọi là bản kỷ tục biên."
書 成 上 進 御 覽 遂 命 工 刊 刻 頒 布 天 下 使 徔 前 .,"Thư thành, thượng tiến ngự lãm, toại mệnh công san khắc, ban bố thiên hạ, sử tòng tiền ...","Sách làm xong, dâng lên ngự lãm, bèn sai thợ khắc in, ban bố trong thiên hạ, khiến cho những sự tích trước đây."
天 百 年 未 集 之 事 績 遹 底 于 成 .,"thiên bách niên vị tập chi sự tích, duật để vu thành.","Trăm ngàn năm chưa tập hợp lại, nay được hoàn thành."
天 下 之 人 目 是 編 者 豁 然 如 覩 青 天 坦 然 如 循 大 路 .,"Thiên hạ chi nhân mục thị biên giả, khoát nhiên như đổ thanh thiên, thản nhiên như tuần đại lộ.","Người trong thiên hạ ai trông thấy sách này đều được tỏ rạng như thấy trời xanh, yên tâm như đi đường cái."
善 者 知 所 激 昂 惡 者 知 所 懲 .,"Thiện giả tri sở khích ngang, ác giả tri sở trừng một.","Người thiện biết là được khuyến khích, kẻ ác cũng biết là bị răn ngừa."
推 而 為 脩 齊 治 平 之 極 功 綏 来 動 和 之 大 效 端 在 是 矣 .,"Suy nhi vi tu tề trị bình chi cực công, tuy lai động hoà chi đại hiệu, đoan tại thị hĩ.","Suy ra mà làm thì công dụng rất mực đối với tu bề trị bình, hiệu quả to lớn trong việc vỗ yên kẻ xa, hành động dàn hoà, đều khởi mối ở đấy cả."
謹 序 .,Cẩn tự.,Kính cẩn viết tựa.
奉 㫖 考 編 特 進 金 紫 榮 禄 大 夫 參 從 刑 部 尙 書 知 中 書 監 萊 山 子 臣 黎 僖 .,"Phụng chỉ khảo biên: Đặc tiến Kim tử Vinh lộc đại phu, Tham tụng, Hình bộ Thượng thư tri Trung thư giám, Lai Sơn tử, thần Lê Hi.","Chỉ khảo biên: Đặc tiến kim tử Vinh lộc đại phu, Tham tụng, Hình bộ thượng thư tri Trung thư giám, Lai Sơn tử, thần Lê Hy."
光 進 慎 禄 大 夫 陪 從 户 部 右 侍 郎 廉 堂 男 臣 阮 貴 德 .,"Quang Tiến Thận Lộc đại phu, Bồi tụng, Hộ bộ Hữu thị lang, Liêm Đường nam, thần Nguyễn Quý Đức.","Quang tiến Thuận lộc đại phu, Bồi tụng, Hộ bộ hữu thị lang, Liêm Đường nam, thần Nguyễn Quý Đức."
弘 信 大 夫 陪 從 太 僕 寺 卿 知 侍 内 書 寫 兵 番 臣 阮 公 董 .,"Hoằng Tín đại phu, Bồi tụng, Thái bộc tự khanh, tri Thị nội thư tả, Binh phiên, thần Nguyễn Công Đổng.","Hoằng tín đại phu, Bồi tụng, Thái bộc tự khanh, tri Thị nội thư tả, Binh phiên, thần Nguyễn Công Đổng."
弘 信 大 夫 陪 從 鴻 矑 寺 卿 知 侍 内 書 寫 户 .,"Hoằng Tín đại phu, Bồi tụng, Hồng lô tự khanh, tri Thị nội thư tả, Hộ ...","Hoằng tín đại phu, Bồi tụng, Hồng lô tự khanh, tri Thị nội thư tả, Hộ ..."
番 臣 武 城 .,"phiên, thần Vũ Thạnh.","Phiên, thần Vũ Thạnh."
弘 信 大 夫 陪 從 奉 天 府 尹 知 水 師 臣 何 宗 穆 .,"Hoằng tín đại phu, Bồi tụng, Phụng Thiên phủ doãn, tri Thuỷ sư, thần Hà Tông Mục.","Hoằng tín đại phu, Bồi tụng, Phụng Thiên phủ doãn, tri Thuỷ sư, thần Hà Tông Mục."
進 功 郎 陪 從 吏 科 級 事 中 知 侍 内 書 寫 户 番 臣 阮 行 .,"Tiến công lang, Bồi tụng, Lại khoa cấp sự trung, tri Thị nội thư tả, Hộ phiên, thần Nguyễn Hành.","Tiến công lang, Bồi tụng, Lại khoa cấp sự trung, tri Thị nội thư tả, Hộ phiên, thần Nguyễn Hành."
進 功 郎 户 科 給 事 中 臣 阮 致 中 .,"Tiến công lang, Hộ khoa cấp sự trung, thần Nguyễn Trí Trung.","Tiến công lang, Hộ khoa cấp sự trung, thần Nguyễn Trí Trung."
進 功 郎 工 科 給 事 中 臣 阮 當 褒 .,"Tiến Công lang, Công khoa cấp sự trung, thần Nguyễn Đương Bao.","Tiến công lang, Công khoa cấp sự trung, thần Nguyễn Đương Bao."
謹 事 郎 翰 林 院 校 理 臣 阮 邁 .,"Cẩn Sự lang, Hàn lâm viện hiệu lí, thần Nguyễn Mại.","Cẩn sự lang, Hàn lâm viện hiệu lý, thần Nguyễn Mại."
謹 事 佐 郎 翰 林 院 校 討 臣 阮 湖 .,"Cẩn sự tá lang, Hàn lâm viện hiệu thảo, thần Nguyễn Hồi.","Cẩn sự tá lang, Hàn lâm viện hiệu thảo, thần Nguyễn Hồ."
謹 事 佐 郎 翰 林 院 校 討 臣 吳 公 擢 .,"Cẩn sự tá lang, Hàn lâm viện hiệu thảo, thần Ngô Công Trạc.","Cẩn sự tá lang, Hàn lâm viện hiệu thảo, thần Ngô Công Trạc."
進 功 郎 昭 文 舘 司 訓 臣 陳 附 翼 .,"Tiến công lang, Chiêu văn quán ti huấn, thần Trần Phụ Dực.","Tiến công lang, Chiêu Văn quán tư huấn, thần Trần Phụ Dực."
進 功 郎 昭 文 舘 司 訓 臣 杜 公 弼 .,"Tiến Công lang, Chiêu văn quán ti huấn, thần Đỗ Công Bật.","Tiến công lang, Chiêu Văn quán tư huấn, thần Đỗ Công Bật."
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 總 太 監 副 知 侍 内 書 寫 兵 番 寬 海 侯 臣 范 廷 僚 奉 監 謄 刊 .,"Nội sai đặc tiến Kim tử Vinh Lộc đại phu, Tư lễ giám Tổng thái giám, phó tri Thị nội thư tả, Binh phiên, Khoan Hải hầu, thần Phạm Đình Liêu phụng giám đằng san.","Nội sai đặc tiến kim tử Vinh Lộc đại phu, Tư lễ giám tổng thái giám, phó tri Thị nội thư tả, Binh phiên, Khoan Hải hầu, thần Phạm Đình Liêu phụng giám đằng san."
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 同 知 監 事 僉 知 歩 兵 書 寫 令 史 校 義 侯 臣 阮 成 名 奉 監 謄 刊 .,"Nội sai đặc tiến Kim tử Vinh lộc đại phu, Tư lễ giám đồng tri giám sự, Thiêm tri bộ binh thư tả lệnh sử, Hiệu Nghĩa hầu, thần Nguyễn Thành Danh phụng giám đằng san.","Nội sai đặc tiến kim tử Vinh lộc đại phu, Tư lễ giám đồng tri giám sự, Thiêm tri bộ binh thư tả lệnh sử, Hiệu Nghĩa hầu, thần Nguyễn Thành Danh phụng giám đằng san."
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 左 監 丞 .,"Nội sai đặc tiến Kim tử Vinh lộc đại phu, Tư lễ giám tả giám thừa, ...","Nội sai đặc tiến kim tử Vinh lộc đại phu, Tư lễ giám tả giám thừa, ..."
珪 祥 侯 臣 阮 俊 堂 奉 監 謄 刊 .,"Khuê Tường hầu, thần Nguyễn Tuấn Đường phụng giám đằng san.","Khuê Tường hầu, thần Nguyễn Tuấn Đường phụng giám đằng san."
内 差 特 進 金 紫 縈 禄 大 夫 司 禮 監 左 監 丞 望 祥 侯 臣 吳 冠 倫 奉 監 謄 刊 .,"Nội sai đặc tiến Kim tử Vinh lộc đại phu, Tư lễ giám tả giám thừa, Vọng Tường hầu, thần Ngô Quán Luân phụng giám đằng san.","Nội sai đặc tiến kim tử Vinh Lộc đại phu, Tư lễ giám tả giám thừa, Vọng Tường hầu, thần Ngô Quán Luân phụng giám đằng san."
特 進 金 紫 縈 禄 大 夫 少 卿 副 勾 将 臣 吏 燿 堂 子 臣 吳 德 勝 奉 㸔 謄 寫 .,"Đặc tiến Kim tử Vinh lộc đại phu, Thiếu khanh, Phó câu kê tướng thần lại, Diệu Đường tử, thần Ngô Đức Thắng phụng khán đằng tả.","Nội sai đặc tiến kim tử Vinh Lộc đại phu, Thiếu khanh, phó câu kê tướng thần lại, Diệu Đường tử, thần Ngô Đức Thắng phụng khán đằng tả."
副 該 合 臣 吏 少 卿 洪 江 男 臣 棃 仕 勳 奉 属 㸔 謄 .,"Phó cai hợp tướng thần lại, Thiếu khanh, Hồng Giang nam, thần Lê Sĩ Huân phụng thuộc khán đằng.","Phó cai hợp tướng thần lại, Thiếu khanh, Hồng Giang nam, thần Lê Sĩ Huân phụng thuộc khán đằng."
優 中 侍 内 書 寫 兵 番 臣 髙 登 朝 奉 謄 .,"Ưu trúng thị nội thư tả, Binh phiên, thần Cao Đăng Triều phụng đằng.","Ưu trúng thị nội thư tả, Binh phiên, thần Cao Đăng Triều phụng đằng."
優 中 侍 内 書 寫 兵 番 臣 杜 公 廉 奉 謄 .,"Ưu trúng thị nội thư tả, Binh phiên, thần Đỗ Công Liêm phụng đằng.","Ưu trúng thị nội thư tả, Binh phiên, thần Đỗ Công Liêm phụng đằng."
優 中 侍 内 書 寫 水 兵 番 臣 鄧 有 斐 奉 謄 .,"Ưu trúng thị nội thư tả, Thuỷ binh phiên, thần Đặng Hữu Phỉ phụng đằng.","Ưu trúng thị nội thư tả, Thuỷ binh phiên, thần Đặng Hữu Phỉ, phụng đằng."
優 中 都 吏 臣 阮 有 德 奉 謄 .,"Ưu trúng Đô lại, thần Nguyễn Hữu Đức phụng đằng.","Ưu trúng đô lại, thần Nguyễn Hữu Đức phụng đằng."
梓 人 紅 录 柳 幢 等 社 人 奉 刊 .,"Tử nhân Hồng Lục, Liễu Chàng đẳng xã nhân phụng san.","Thợ khắc ở các xã Hồng Lục, Liễu Chàng vâng lệnh khắc in."
大 越 史 記 續 編 書 .,Đại Việt sử kí tục biên thư.,ĐẠI VIỆT SỬ KÝ TỤC BIÊN THƯ
國 史 何 為 而 作 也 盖 史 以 記 事 為 主 .,Quốc sử hà vi nhi tác dã? Cái sử dĩ kí sự vi chủ.,Vì sao mà làm quốc sử? Vì sử chủ yếu là để ghi chép sự việc.
有 一 代 之 治 必 有 一 代 之 史 .,"Hữu nhất đại chi trị, tất hữu nhất đại chi sử.",Có chính trị của một đời tất phải có sử của một đời.
而 史 之 載 筆 持 論 甚 嚴 如 黼 黻 至 治 與 日 月 而 並 明 铁 鉞 亂 賊 與 秋 霜 而 俱 厲 .,"Nhi sử chi tải bút trì luận thậm nghiêm, như phủ phất chí trị dữ nhật nguyệt nhi tịnh minh, thiết việt loạn tặc dữ thu sương nhi cụ lệ.","Mà ngòi bút chép sử giữ nghị luận rất nghiêm, ca ngợi đời thịnh thì sáng tỏ ngang với mặt trời mặt trăng, lên án kẻ loạn tặc thì gay gắt như sương thu lạnh buốt."
