cn,vi
余常聞之,Ta thường nghe:
紀信以身代死而脫高帝,"Kỷ Tín đem mình chết thay, cứu thoát cho Cao Đế;"
由于以背受戈而蔽昭王,"Do Vu chìa lưng chịu giáo, che chở cho Chiêu Vương;"
豫讓吞炭而復主讎,"Dự Nhượng nuốt than, báo thù cho chủ;"
申蒯断臂而赴國難,Thân Khoái chặt tay để cứu nạn cho nước.
敬德一小生也 身翼太宗而得免世充之圍,"Kính Đức một chàng tuổi trẻ, thân phò Thái Tông thoát khỏi vòng vây Thái Sung;"
杲卿一遠臣也 口罵禄山而不從逆賊之計,"Cảo Khanh một bầy tôi xa, miệng mắng Lộc Sơn, không theo mưu kế nghịch tặc."
自古忠臣義士 以身死國 何代無之,"Từ xưa các bậc trung thần nghĩa sĩ, bỏ mình vì nước, đời nào chẳng có?"
設使數子區區為兒女子之態,Ví thử mấy người đó cứ khư khư theo thói nhi nữ thường tình
徒死牖下 烏能名垂竹白,"Thì cũng đến chết hoài ở xó cửa,"
與天地相為不朽哉,Sao có thể lưu danh sử sách cùng trời đất muôn đời bất hủ được?
汝等世為將種 不曉文義,"Các ngươi vốn dòng võ tướng, không hiểu văn nghĩa,"
其聞其說 疑信相半,nghe những chuyện ấy nửa tin nửa ngờ.
古先之事姑置勿論,Thôi việc đời trước hẵng tạm không bàn.
今余以宋韃之事言之,"Nay ta lấy chuyện Tống, Nguyên mà nói:"
王公堅何人也,Vương Công Kiên là người thế nào?
其裨將阮文立又何人也,"Nguyễn Văn Lập, tỳ tướng của ông lại là người thế nào?"
以釣魚瑣瑣斗大之城,Vậy mà đem thành Điếu Ngư nhỏ tày cái đấu
當蒙哥堂堂百萬之鋒,"Đương đầu với quân Mông Kha đường đường trăm vạn,"
使宋之生靈至今受賜,Khiến cho sinh linh nhà Tống đến nay còn đội ơn sâu!
骨䚟兀郎何人也,Cốt Đãi Ngột Lang là người thế nào?
其裨將赤脩思又何人也,Xích Tu Tư tỳ tướng của ông lại là người thế nào?
冒瘴厲於萬里之途,Vậy mà xông vào chốn lam chướng xa xôi muôn dặm
獗南詔於數旬之頃,"Đánh quỵ quân Nam Chiếu trong khoảng vài tuần,"
使韃之君長至今留名,Khiến cho quân trưởng người Thát đến nay còn lưu tiếng tốt!
況余與汝等生於擾攘之秋,"Huống chi, ta cùng các ngươi sinh ra phải thời loạn lạc,"
長於艱難之勢,Lớn lên gặp buổi gian nan.
竊見偽使往來 道途旁午,"Lén nhìn sứ ngụy đi lại nghênh ngang ngoài đường,"
掉鴞烏之寸舌而凌辱朝廷,Uốn tấc lưỡi cú diều mà lăng nhục triều đình;
委犬羊之尺軀而倨傲宰祔,Đem tấm thân dê chó mà khinh rẻ tổ phụ.
托忽必列之令而索玉帛以事無已之誅求,Ỷ mệnh Hốt Tất Liệt mà đòi ngọc lụa để phụng sự lòng tham khôn cùng;
假雲南王之號而揫金銀以竭有限之傥庫,"Khoác hiệu Vân Nam Vương mà hạch bạc vàng, để vét kiệt của kho có hạn."
譬猶以肉投餒虎寧能免遺後患也哉,"Thật khác nào đem thịt ném cho hổ đói, tránh sao khỏi tai họa về sau."
余常臨餐忘食 中夜撫枕,"Ta thường tới bữa quên ăn, nửa đêm vỗ gối,"
涕泗交痍 心腹如搗,"ruột đau như cắt, nước mắt đầm đìa;"
常以未能食肉寢皮 絮肝飲血為恨也,"chỉ giận chưa thể xả thịt, lột da, ăn gan, uống máu quân thù;"
雖余之百身高於草野,"dẫu cho trăm thân ta phơi ngoài nội cỏ,"
余之千屍裹於馬革,"nghìn thây ta bọc trong da ngựa,"
亦願為之,cũng nguyện xin làm.
汝等久居門下 掌握兵權,"Các ngươi ở lâu dưới trướng, nắm giữ binh quyền,"
無衣者則衣之以衣,không có mặc thì ta cho áo;
無食者則食之以食,không có ăn thì ta cho cơm.
官卑者則遷其爵,Quan thấp thì ta thăng tước;
祿薄者則給其俸,lộc ít thì ta cấp lương.
水行給舟 陸行給馬,Đi thủy thì ta cho thuyền; đi bộ thì ta cho ngựa.
委之以兵則生死同其所為,Lâm trận mạc thì cùng nhau sống chết;
進之在寢則笑語同其所樂,được nhàn hạ thì cùng nhau vui cười.
其是公堅之為偏裨 兀郎之為副貳亦未下爾,"So với Công Kiên đãi kẻ tỳ tướng, Ngột Lang đãi người phụ tá, nào có kém gì?"
汝等坐視主辱曾不為憂,Nay các ngươi ngồi nhìn chủ nhục mà không biết lo;
身當國恥曾不為愧,thân chịu quốc sỉ mà không biết thẹn.
為中國之將侍立夷宿而無忿心,Làm tướng triều đình đứng hầu quân man mà không biết tức;
聽太常之樂宴饗偽使而無怒色,nghe nhạc thái thường đãi yến sứ ngụy mà không biết căm.
或鬥雞以為樂或賭博以為娛,Có kẻ lấy việc chọi gà làm vui; có kẻ lấy việc cờ bạc làm thích.
或事田園以養其家,Có kẻ chăm lo vườn ruộng để cung phụng gia đình;
或戀妻子以私於己,có kẻ quyến luyến vợ con để thỏa lòng vị kỷ.
修生產之業而忘軍國之務,Có kẻ tính đường sản nghiệp mà quên việc nước;
恣田獵之遊而怠攻守之習,có kẻ ham trò săn bắn mà trễ việc quân.
或甘美酒或嗜淫聲,Có kẻ thích rượu ngon; có kẻ mê tiếng hát.
脱有蒙韃之寇來,Nếu bất chợt có giặc Mông Thát tràn sang
雄雞之距不足以穿虜甲,cựa gà trống không đủ đâm thủng áo giáp của giặc;
賭博之術不足以施軍謀,mẹo cờ bạc không đủ thi hành mưu lược nhà binh.
田園之富不足以贖千金之軀,Vườn ruộng nhiều không chuộc nổi tấm thân ngàn vàng;
妻孥之累不足以充軍國之用,vợ con bận không ích gì cho việc quân quốc.
生產之多不足以購虜首,Tiền của dẫu lắm không mua được đầu giặc;
獵犬之力不足以驅賊眾,chó săn tuy hay không đuổi được quân thù.
美酒不足以沈虜軍,Chén rượu ngọt ngon không làm giặc say chết;
淫聲不足以聾虜耳,giọng hát réo rắt không làm giặc điếc tai.
當此之時 我家臣主就縛 甚可痛哉,"Lúc bấy giờ chúa tôi nhà ta đều bị bắt, đau xót biết chừng nào!"
不唯余之采邑被削,Chẳng những thái ấp của ta không còn
而汝等之俸祿亦為他人之所有,mà bổng lộc các ngươi cũng thuộc về tay kẻ khác;
不唯余之家小被驅,chẳng những gia quyến của ta bị đuổi
而汝等之妻孥亦為他人之所虜,mà vợ con các ngươi cũng bị kẻ khác bắt đi;
不唯余之祖宗社稷為他人之所踐侵,chẳng những xã tắc tổ tông ta bị kẻ khác giày xéo
而汝等之父母墳墓亦為他人之所發掘,mà phần mộ cha ông các ngươi cũng bị kẻ khác bới đào;
不唯余之今生受辱 雖百世之下 臭名難洗 惡謚長存,"chẳng những thân ta kiếp này chịu nhục đến trăm năm sau tiếng nhơ khôn rửa, tên xấu còn lưu,"
而汝等之家清 亦不免名為敗將矣,mà gia thanh các ngươi cũng không khỏi mang danh là tướng bại trận.
當此之時汝等雖欲肆其娛樂得乎,"Lúc bấy giờ, dẫu các ngươi muốn vui chơi thỏa thích, phỏng có được chăng?"
今余明告汝等,Nay ta bảo thật các ngươi:
當以措火積薪為危,"nên lấy việc ""đặt mồi lửa dưới đống củi nỏ"" làm nguy;"
當以懲羹吹虀為戒,"nên lấy điều ""kiềng canh nóng mà thổi rau nguội"" làm sợ."
訓練士卒習爾弓矢,"Phải huấn luyện quân sĩ, tập dượt cung tên,"
使,Khiến cho:
人人逄蒙家家后羿,"Ai nấy đều giỏi như Bàng Mông, nhà nhà đều là Hậu Nghệ,"
購必烈之頭於闕下,"có thể bêu đầu Hốt Tất Liệt dưới cửa khuyết,"
朽雲南之肉於杲街,làm rữa thịt Vân Nam Vương ở Cảo Nhai
不唯余之采邑永為青氈,Như thế chẳng những thái ấp của ta mãi mãi vững bền
而汝等之俸祿亦終身之受賜,mà bổng lộc các ngươi cũng suốt đời tận hưởng;
不唯余之家小安床褥,"chẳng những gia thuộc ta được ấm êm giường nệm,"
而汝等之妻孥亦百年之佳老,mà vợ con các ngươi cũng trăm tuổi sum vầy;
不唯余之宗廟萬世享祀,chẳng những tông miếu ta được hương khói nghìn thu
而汝等之祖父亦春秋之血食,mà tổ tiên các ngươi cũng được bốn mùa thờ cúng;
不唯余之今生得志,"chẳng những thân ta kiếp này thỏa chí,"
而汝等百世之下芳名不朽,"mà đến các ngươi, trăm đời sau còn để tiếng thơm;"
不唯余之美謚永垂,"chẳng những thụy hiệu ta không hề mai một,"
而汝等之姓名亦遺芳於青史矣,mà tên họ các ngươi cũng sử sách lưu truyền.
當此之時汝等雖欲不為娛樂得乎,"Lúc bấy giờ, dẫu các ngươi không muốn vui chơi, phỏng có được không?"
今余歷選諸家兵法為一書名曰兵書要略,"Nay ta chọn lọc binh pháp các nhà hợp thành một tuyển, gọi là Binh Thư Yếu Lược."
汝等或能專習是書 受余教誨 是夙世之臣主也,"Nếu các ngươi biết chuyên tập sách này, theo lời ta dạy bảo, thì trọn đời là thần tử;"
或暴棄是書 違余教誨 是夙世之仇讎也,"nhược bằng khinh bỏ sách này, trái lời ta dạy bảo thì trọn đời là nghịch thù."
何則,Vì sao vậy?
蒙韃乃不共戴天之讎,"Giặc Mông Thát với ta là kẻ thù không đội trời chung,"
汝等記恬然不以雪恥為念 不以除凶為心,"mà các ngươi cứ điềm nhiên không muốn rửa nhục, không lo trừ hung,"
而又不教士卒 是倒戈迎降 空拳受敵,"lại không dạy quân sĩ, chẳng khác nào quay mũi giáo mà xin đầu hàng, giơ tay không mà chịu thua giặc."
使平虜之後 萬世遺羞,"Nếu vậy, rồi đây, sau khi dẹp yên nghịch tặc, để thẹn muôn đời,"
上有何面目立於天地覆載之間耶,há còn mặt mũi nào đứng trong cõi trời che đất chở này nữa?
故欲汝等明知余心 因筆以檄云,Cho nên ta viết bài hịch này để các ngươi hiểu rõ bụng ta.
