cn,sv,vi
"百花吐艷春風暖
萬象更新國運昌","Bách hoa thổ diếm xuân phong noãn;
Vạn tượng canh tân quốc vận xương.","Trăm hoa đua nở hơi xuân ẩm;
Muôn vẻ đổi thay vận nước vui."
"天增歲月人增壽
春滿乾坤福滿門","Thiên tăng tuế nguyệt nhân tăng thọ;
Xuân mãn càn khôn phúc mãn môn.","Trời thêm năm tháng người thêm thọ;
Xuân khắp đất trời phúc mọi nhà."
"田野春光眞好
農家歲月更新","Điền dã xuân quang chân hảo;
Nông gia tuế nguyệt canh lân.","Đồng ruộng xuân tươi vui thực;
Nhà nông năm tháng mới hơn."
"春來也魚龍變化
時至矣桃李芳菲","Xuân lai dã ngư long biến hóá;
Thời chí hĩ đào lý phương phi.","Xuân về nhỉ cá rồng biến hóa;
Thời đến ư đào mận thơm hương."
"和順一門添百福
平安二字值千金","Hòà thuận nhất môn thiêm bách phúc;
Bình an nhị tự trị thiên kim.","Hòà thuận một nhà thêm trăm phúc;
Bình an hai chữ giá ngàn vàng."
"心地光明千丈霽
家庭和睦四時春","Tâm địa quang minh thiên trượng tễ;
Gia đình hòa mục tứ thời xuân.","Lòng dạ quang minh ngàn trượng quý;
Gia đình hòà thuận bốn mùa xuân."
"數點桃花知晚歲
一香地餅報新春","Số điểm đào hoa tri vãn tuế;
Nhất hương địa bỉnh báo tân xuât.","Mấy đóa hoa đào hay tết đến;
Một làn bếp bánh báo xuân về."
"人逢盛世精神爽
歲轉陽春气象新","Nhân phùng thịnh thế tinh thần sả
Tuế chuyển dương xuân khi tượng t","Tinh thần sảng khoái vui thời thí
Cảnh mới xuân tươi đón giao thừ:"
"獨立自由費眞資
勞動英雄榮更榮","Độc lập tự do quý chân quý;
Lao động anh hùng vình cánh vinh","Độc lập tự do quý thật quý;
Lao động anh hùng vinh càng vinh"
"昇平盛世興歌溢
幸福民生得意多","Thăng bình thịnh thế hưng ca dật;
Hạnh phúc dân sinh đắc ý đa.","Hòà bình đời thịnh vui khúc hát;
Hạnh phúc nhân dân thoa ý mừng."
"鴻嶺萬年銘偉績
藍江千古涉恩波","Hồng Lĩnh vạn niên minh vĩ tích;
Lam Giang thiên cổ thiệp àn ba.","Hồng Lĩnh muôn năm ghi nghiệp lớn;
Lam Giang nghìn thuở thấm ơn xa."
"萬里江山新景色
三圻骨肉喜團圓","Vạn lý giang sơn tân cảnh sắc;
Tam kỳ cốt nhục hỉ đoàn viên.","Muôn dặm non sông vừa đổi mới;
Ba kỳ ruột thịt lại chung vui."
"自由歌曲聞閣里
獨立紅旗燦日天","Tự do ca khúc văn lư lý;
Độc lập hồng kỳ xán nhật thiên.","Tự do ca hát vang hàng xóm;
Độc lập cờ hồng rực sáng ngời."
"救國有丹心民族最隆惟獨立
愛民堅夙志民權無價是自由","Cứu quốc hữu đan tâm, dân tộc tối long duy độc lập;
Ái dân kiên túc chí, dân quyền vô giá thị tự do.","Cứu quốc có lòng son, dân tộc tối cần là độc lập;
Yêu dân bền chí hướng, dân quyên vô giá ấy tự do."
"為獨立自由願團結團結大團結
謀富強幸福必成功成功大成功","Vị độc lập tự do, nguyện doàn kết đoàn kết đại đoàn kết;
Mưu phú cường hạnh phúc, tất thành công thành công đại thành công.","Vì độc lập tự do đã nguyện Đoàn kết đoàn kết đại đoàn kết;
Mưu mạnh giầu hạnh phúc tất được Thành công thành công đại thành công."
"明月清風百類魚禽皆園色
金枝玉葉四時花草有天香","Minh nguyệt thanh phong bách loại ngư cầm giai quốc sắc;
Kim chi ngọc diệp tứ thời hoa thảo hữu thiên hương.","Gió mát trăng thanh, trăm loại ngư cầm đều quốc sắc;
Cành vàng lá ngọc, bốn mùa hoa thảo có hương trời."
"胜友如雲同頌党思深重
壽筵從簡不忘國事興隆","Thắng hữu như vân đồng tụng đảng ân thâm trọng,
Thọ diên tòng giản bất vong quốc sự hưng long.","Bạn tốt như mây, cùng ca ơn Đảng sâu rộng;
Chiếu thọ theo tuổi, chẳng quên việc nước chấn hưng."
"春風送暖歸楊柳
細雨飛紅上碧桃","Xuân phong tống noãn quy dương liều;
Tế vũ phi hồng thướng bích đào.","Gió xuân đưa ấm cho dương liễu;
Mưa nhẹ thêm hồng đến bích đào."
"百鳥和鳴歌序曲
萬民歡愉慶丰年","Bách điểu hòa minh ca tự khúc;
Vạn dân hoan dụ khánh phong niên.","Chim chóc hòà ca cùng khúc nhạc;
Muôn dân vui vẻ đón được mùa."
"物阜財丰民幸福
俗淳風正國昌隆","Vật phụ tài phong dân hạnh phúc;
Tục thuần phong chính quốc xương long.","Của cải nhiều lên dân hạnh phúc;
Thuần phong mỹ tục nước phồn vinh."
"幸福堂前無限樂
長春花下有余香","Hạnh phúc đường tiền vô hạn lạc;
Trường xuân hoa hạ hữu dư hương.","Hạnh phúc đầy nhà vui khôn xiết;
Xuân tươi hoa nở vẻ thêm hương."
"江山畫卷描新樣
桃李春風改舊觀","Giang sơn họa quyền miêu tân dạng;
Đào lý xuân phong cải cựu quan.","Von sông bức vẽ tinh thần mới
Đào mận vào xuân nét đổi xưa."
"江山盛世春風里
日月新天畫景中","Giang sơn thịnh thế xuân phong lý;
Đào lý tân thiên họạ cảnh trung.","Non sông thời thịnh xuân về khắp;
Ngày tháng mới nay cảnh đẹp đầy."
"千村笑語千村果
一路春風一路花","Thiên thôn tiếu ngữ thiên thôn quả;
Nhất lộ xuân phong nhất lộ hoa.","Nghìn thôn cươi nói nghìn thôn quả;
Một lối xuân về một lối hoa."
"盛世同歌歌盛世
新春共樂樂新春","Thịnh thế đồng ca ca thịnh thế;
Tân xuân cộng lạc lạc tân xuân.","Đời thịnh cùng ca ca đời thịnh;
Xuân về vui hát hát về xuân."
"萬頃嘉禾盈瑞气
千國碩果笑春風","Vạn khoanh gia hòà doanh thuy khi;
Thiên viên thạc quả tiêu xuân phong.","Vạn ruộng trĩu bông đầy khí tốt;
Nghìn vườn sai quả nhộn xuân vui."
"春到農家添异彩
風吹田野吐清香","Xuân đáo nông gia thiêm dị thái;
Phong suy điền dã thổ thanh hương.","Xuân đến nhà nông thêm khởi sắc;
Gió bay đồng ruộng nở trong hương."
"興業須從勤處得
生財總自儉中來","Hưng nghiệp tu tòng cần xứ đắc;
Sinh tài tổng tự kiệm trung lai.","Dấy nghiệp phải từ cần mẫn được;
Làm giàu đều tự kiệm mà nên."
"一歲良辰千古節
百年正朔萬家春","Nhất tuế lương thời thiên cổ tiết;
Bách niên chính sóc vạn gia xuân.","Giờ tốt hàng năm ngàn xưa tết;
Tháng giêng mồng một vạn nhà xuân."
"大樹新風光祖園
廣開財路富山鄉","Đại thụ tân phong quang tố quốc;
Quảng khai tài lộ phú sơn hương.","Tổ quốc vinh quang nhờ gió mới;
Bản làng sung túc bởi làm giầu."
"街頭燈影追花影
村里梅香雜酒香","Nhai đầu đăng ảnh truy hoa ảnh;
Thôn lý mai hương tạp tửu hương.","Đèn hoa lồng bóng đầu đường rọi;
Mai rượu hòa hương khắp xóm thơm."
"春風春雨春光好
新歲新年新事多","Xuân phong xuân vũ xuân quang hảo;
Tân tuế tân niên tân sự đa.","Gió xuân mưa xuân ánh xuân tốt;
Ngày mới năm mới việc mới nhiều."
"鼠去牛來聞虎嘯
民殷國富看龍飛","Thử khứ ngưu lai văn hổ khiếu;
Dân ân quốc phú khán long phi.","Chuột chạy trâu về nghe hổ thét;
Dân yên nước thịnh ngó rồng bay."
"馬粤已傳千道喜
羊奔又送萬家春","Mã việt dĩ truyền thiên dạo hỷ;
Dương bôn hựu tống vạn gia xuân.","Nghìn dặm ngựa truyền tin vui khắp;
Muôn nhà dê báo lại xuân về."
"辦事為民公仆志
以身作則主人心","Biện sự vi dân công bộc chi;
Dĩ thân tác tắc chủ nhân tâm.","Chí quyết vì dân làm công bộc;
Tâm nêu gương mẫu đức chủ nhân."
"牛耕綠野千倉滿
虎嘯青山萬木春","Ngưu canh lục dã thiên thương mãn;
Hổ khiếu thanh sơn vạn mộc xuân.","Trâu cầy đồng rậm nghìn kho chất;
Hổ thét non xanh vạn cây xuân."
"忠厚一生嫌善少
平安二字值錢多","Trung hậu nhất sinh hiềm thiện thiếu;
Bình an nhị tự trị tiền đa.","Trung hậu một đời hiềm thiện ít;
Bình an hai chữ đáng tiền nhiều."
"新春寄意千門富
快馬加鞭萬里程","Tân xuân ký ý thiên môn phú;
Khoái mã gia tiên vạn lý trình.","Xuân về đắc ý nghìn nhà phú;
Tuân mã thêm roi vạn dặm đường."
"政通世泰千門曉
國富民強四海春","Chính thông thế thái thiên môn hiểu;
Quốc phú dân cường tử hải xuân.","Chính thông đời tốt nghìn nhà sáng;
Nước mạnh dân giầu bốn biển xuân."
"東風化雨山山翠
政策歸心處處春","Đông phong hóa v sơn sơn thuy;
Chính sách quy tâm xứ xứ xuân.","Mưa về gió ấm non non biếc;
Đạ đón tin trên xứ xứ xuân."
"揮毫大寫英雄譜
履卷欣描幸福圖","Huy hào đại tả anh hùng phả;
Triển quyển hân miêu hạnh phúc đồ.","Bộ phả anh hùng tha hồ viêt;
Tập tranh hạnh phúc thoa sức tô."
"登山望海雲天遠
建國興邦歲月長","Đăng sơn vọng hải vân thiên viên;
Kiến quốc hưng bang tuế nguyệt trường.","Lên non ngó biển mây trời rộng;
Dựng nước xây nhà năm tháng dài."
"梅竹平安春意滿
春萱并茂壽源長","Mai trúc bình an xuân ý mãn;
Xuân huyền tinh mậu thọ nguyên trường.","Mai trúc vui xuân đều mãn ý;
Xoan huyên hưởng thọ thoả dài nguồn."
"月滿一輪輝宇宙
梅香千里到門庭","Nguyệt măn nhất luân huy vũ trụ;
Mai hương thiên lý đáo môn đình.","Trăng sáng một vầng soi trời đất;
Mai thơm nghìn dặm đến sân nhà."
"社會繁榮臻大治
人民安樂慶升平","Xã hội phồn vinh trăn đại trị;
Nhân dân an lạc khánh thăng bình.","Xã hội phồn vinh vui thịnh vượng;
Nhân dân yên lạc thoa thái bình."
"柳岸雨濃千樹綠
桃園春暖萬枝紅","Liều ngạn vù nùng thiên thụ lục;
Đào viên xuân noãn vạn chi hồng. •","Bờ liễu đượm mưa nghìn cây biếc;
Vườn đào xuân ấm vạn cành hồng."
"門對青山千里秀
家居旺地四時春","Môn đối thanh sơn thiên lý tú;
Gia cư vượng dịa tử thời xuân.","Cửa trước non xanh nghìn dặm đẹp;
Nhà trên đất thịnh bốn mùa xuân."
"勤勞澆長生財樹
儉仆托來聚寶盆","Cần lao nhiêu trưởng sinh tài thụ;
Kiệm phác thác lai tụ bảo bồn.","Cần lao chăm được cây tài lộc;
Kiệm ước tạo nên chĩnh đựng vàng."
"興邦有策人民福
報國無私赤子心","Hưng bang hữu sách nhân dân phúc;
Báo quốc vô tư xích tử tâm.","Non sông vững bước nhân dân phúc;
Tổ quốc vinh quang đồng chí tâm."
"功高不泯忠貞志
位顯更堅公仆心","Công đức bất dẫn trung trinh chí;
Vị hiển cánh kiên công bộc tâm.","Trung trinh chí giữ dù công lớn;
Công bộc tâm kiên dẫn hiển vinh."
"移山不忘愚公志
興業猶存赤子心","Di sơn bất vong Ngu công chí;
Hưng nghiệp do tồn xích tử tâm.","Dời núi chẳng quên Ngu công chí;
Dấy nghiệp phải bền dân chúng tâm."
"長幼團圓分歲畢
送迎新舊此宵中．","Trưởng ấu đoàn viên phân tuế tất;
Tống nghênh tân cựu thử tiêu trung.","Già trẻ đoàn viên theo tuổi tác;
Tiễn mừng cũ mới lúc giao thừa."
"高歌盛世詩千首
共祝民康酒一杯","Cao ca thịnh thế thi thiên thủ;
Cộng chúc dân khang tửu nhất bôi.","Nghìn bài thơ viết mừng nước thịnh;
Một chén rượu đưa chúc dân khang. *"
"萬象更新承眾志
千花競放賴東風","Vạn tượng canh tân thừa chúng chí;
Thiên họa cạnh phóng lại dông phong.","Vạn cảnh canh tân nhờ quần chúng;
Nghìn hoa đua nở dựa gió đông."
"好借廉風舒畫卷
常將正气壯詩情","Hảo tá liêm phong thư hoa quyến;
Thường tương chính khí tráng thi tình.","Luôn lấy thanh liêm làm bức hoạ;
Thường đem chính trực để làm thơ."
"萬樹欣隨春水綠
百花爭向艷陽紅","Vạn thụ hân luv ruân thủy lục:
Bách hoa tranh hướng diệm dương hồng","Nước biếc xuân về cây hớn hở:
Trời hồng ấm đến vạn hoa đua."
"萬管玉簫歌盛世
千支神筆贊新風","Vạn quản ngọc tiêu ca thịnh thế;
Thiên chi thần bút tán tân phong.","Muôn ống ngọc tiêu ca thịnh thế;
Nghin cây thần bút ngọi đời nay."
"萬户管弦歌盛亡
百般紅紫繡芳春","Vạn hộ quản huyền ca thịnh thế
Bách ban hồng tử tú phương xuân.","Muôn hộ sáo dàn ca thịnh thế:
Trăm mầu hồng tía dệt xuân vui."
"萬眾一心同獻策
百花齊放共爭泰","Vạn chúng nhất tâm đồng hiến sách;
Bách hoa tề phóng cộng tranh xuân.","Quần chúng một lòng chung hiến kế:
Trăm hoa đua nở góp thêm xuân."
"千秋歲月千秋美
萬里江山萬里春","Thiên thu tuế nguyệt thiên thu mỹ:
Vạn lý giang sơn vạn lý xuân.","Nghìn thu năm tháng nghìn thu đẹp;
Vạn dặm non sông vạn đặm xuân."
"門庭春暖生光彩
田畝年丰樂太平","Môn đinh xuân noãn sinh quang thái;
Điền mẫu niên phong lạc thái bình.","Sân nhà xuân ấm sinh mầu sắc;
Đồng ruộng bội thu được thái bình."
"水流新韻山流翠
竹報平安梅報春","Thủy lưu tân vận sơn lưu thúy;
Trúc báo bình an mai báo xuân.","Nước khơi vần mới non khơi biếc;
Trúc báo bình an mai báo xuân."
"壯鹿山河多异彩
文明國度遍高風","Tráng lệ sơn hà đa dị thái;
Văn minh quốc độ biến cao phong.","Sắc thái non sông bao tráng lệ;
Thời phong đất nước thật văn minh."
"清風喜打歡心鼓
綠水暢彈如意琴","Thanh phong hỷ đả hoan tâm cổ;
Lục thủy sướng đàn như ý cầm.","Lòng vui trống gióng nhờ gió mát;
Ý toại đàn hay bởi nước xanh."
"江山大好英雄健
天地多情草木春","Giang sơn đại hảo anh hùng kiện;
Thiên địa đa tình thảo mộc xuân.","Non sông vận tốt anh hùng mạnh;
Trời đất tình nhiều cây cỏ xanh."
"青春有限志無限
歲月無情人有情","Thanh xuân hữu hạn chí vô hạn;
Tuế nguyệt vô tình nhân hữu tinh.","Tuổi xanh có hạn chí vô hạn;
Năm tháng vô tình người có tình."
"舉目看花花滿目
出門見喜喜盈門","Cử mục khán hoa hoa mãn mục;
Xuất môn kiến hý hỷ doanh môn.","Ngước mắt nhìn hoa hoa đầy mắt;
Ra nhà được hý hỷ đầy nhà."
"春到山鄉遍地喜
福臨農户滿庭春","Xuân đáo sơn hương biến địa hỷ;
Phúc lâm nông hộ mãn đình xuân.","Xuân đến bản làng nơi nơi tốt;
Phúc vào nông hộ chốn chốn xuân."
